task,dataset,query_family,objective,metric,direction,best_policy,best_policy_class,best_view,best_ranker,best_value,operation_stack_query_aware_value,operation_stack_query_aware_regret,fixed_session_query_aware_regret,flat_width_regret,tradeoff_class,mechanism_labels,mechanism_count,optimization_action,useful_stack_fields,counterpoints,actionable
agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,157.0,156.0,271.0,0.0,raw_action_mapping_counterpoint,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,260.0,259.0,548.0,0.0,flat_summary_counterpoint,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.8808,0.8808,0.0,0.0136,0.1894,default_operation_stack_suffices,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,0.8175,0.7593,0.0582,0.4505,0.0,dataset_native_boundary_or_task_hierarchy,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,budget30_recall,budget30_recall,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.3988,0.3988,0.0,0.0377,0.3988,default_operation_stack_suffices,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,raw_action_stack:visible_risk,raw_action_stack_counterpoint,raw_action_stack,visible_risk,0.0014,0.2058,0.2044,0.0398,0.9986,raw_action_mapping_counterpoint,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,3.0,2.0,9.0,0.0,raw_action_mapping_counterpoint,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_looping,agent-reward-bench,failure-looping,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,40.0,39.0,28.0,0.0,flat_summary_counterpoint,query_aware_ranker; mapping_helps; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,6,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,0.3979,0.6021,0.5394,0.7229,fixed_session_drilldown_counterpoint,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,fixed_session:width,fixed_session_drilldown,fixed_session,width,0.8129,0.1494,0.6635,0.8129,0.379,fixed_session_drilldown_counterpoint,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_recall,budget30_recall,higher,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,0.3812,0.6188,1.0,1.0,fixed_session_drilldown_counterpoint,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0645,0.0645,0.0,0.2826,0.9355,default_operation_stack_suffices,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,fixed_session:width,fixed_session_drilldown,fixed_session,width,1.0,17.0,16.0,6.0,0.0,fixed_session_drilldown_counterpoint,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentreward_side_effect,agent-reward-bench,failure-side-effect,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,40.0,39.0,28.0,0.0,flat_summary_counterpoint,query_aware_ranker; mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,6,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,higher,fixed_session:query_aware,fixed_session_drilldown,fixed_session,query_aware,0.2345,0.2254,0.0091,0.0,0.044,fixed_session_drilldown_counterpoint,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,higher,flat:width,flat_summary_counterpoint,flat,width,0.32,0.2469,0.0731,0.2576,0.0,flat_summary_counterpoint,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,budget30_recall,budget30_recall,higher,operation_stack:width,operation_stack_width_counterpoint,operation_stack,width,0.4241,0.2971,0.127,0.0733,0.4241,operation_stack_ranker_or_depth_tuning,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,lower,fixed_session:visible_risk,fixed_session_drilldown,fixed_session,visible_risk,0.004,0.1311,0.1271,0.001,0.996,fixed_session_first_positive_counterpoint,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,lower,dataset_native:visible_risk,dataset_native_hierarchy,dataset_native,visible_risk,1.0,62.0,61.0,106.0,0.0,dataset_native_boundary_or_task_hierarchy,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
osworld_group_start,osworld-human,human-boundary,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,173.0,172.0,319.0,0.0,flat_summary_counterpoint,misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,5,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1,True
satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,0.7598,0.4875,0.2723,0.2539,0.6146,dataset_native_boundary_or_task_hierarchy,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.4065,0.4065,0.0,0.3018,0.153,default_operation_stack_suffices,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,budget30_recall,budget30_recall,higher,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,1.0,0.8376,0.1624,0.135,1.0,dataset_native_boundary_or_task_hierarchy,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,lower,fixed_session:query_aware,fixed_session_drilldown,fixed_session,query_aware,0.0037,0.0112,0.0075,0.0,0.9963,fixed_session_first_positive_counterpoint,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,lower,dataset_native:query_aware,dataset_native_hierarchy,dataset_native,query_aware,1.0,38.0,37.0,55.0,0.0,dataset_native_boundary_or_task_hierarchy,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
satraj_unsafe,satraj-os-safety,safety,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,142.0,141.0,249.0,0.0,flat_summary_counterpoint,query_aware_ranker; mapping_helps; critical_rank_features; misleading_feature_risk; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint,7,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; misleading_visible_feature,True
