Type: operations
Showing nodes accounting for 4737, 82.38% of 5750 total
Dropped 658 nodes (cum <= 28)
         0     0% 82.38%         68  1.18%  operation:extend_emulator_compatibility
         0     0% 82.38%         96  1.67%  operation:identify_official_paper_codebases
         0     0% 82.38%         99  1.72%  operation:implement_adaptive_rejection_sampling
         0     0% 82.38%        135  2.35%  operation:implement_compact_transformer_inference
         0     0% 82.38%        149  2.59%  operation:implement_mips_interpreter_for_doom
         0     0% 82.38%        229  3.98%  operation:implement_runescape_account_login_and_logout
         0     0% 82.38%         47  0.82%  operation:inspect_process_memory
         0     0% 82.38%         36  0.63%  operation:inspect_the_public_autoconfig_registration_surface
         0     0% 82.38%        147  2.56%  operation:install_a_legacy_operating_system_with_remote_access
         0     0% 82.38%         48  0.83%  operation:install_build_prerequisites
         0     0% 82.38%         36  0.63%  operation:locate_the_required_service_implementation
         0     0% 82.38%         34  0.59%  operation:locate_the_service_environment
         0     0% 82.38%        105  1.83%  operation:make_pyknotid_compatible_with_numpy_2
         0     0% 82.38%         30  0.52%  operation:malformed-html_parser_differentials
         0     0% 82.38%         29   0.5%  operation:map_list-item_data_flow
         0     0% 82.38%         95  1.65%  operation:modernize_legacy_3d_asset_conversion
         0     0% 82.38%         37  0.64%  operation:monitor_installation_progress
         0     0% 82.38%        166  2.89%  operation:navigate_the_interactive_maze
         0     0% 82.38%        377  6.56%  operation:port_doom_to_mips
         0     0% 82.38%         61  1.06%  operation:prepare_checkpoint_inspection_support
         0     0% 82.38%         56  0.97%  operation:prepare_downloading_and_trimming_support
         0     0% 82.38%        102  1.77%  operation:produce_the_final_ten_seconds_of_the_earliest_uploaded_video
         0     0% 82.38%         35  0.61%  operation:provision_compatible_account_credentials
         0     0% 82.38%         48  0.83%  operation:read_open_source_descriptor
         0     0% 82.38%         32  0.56%  operation:record_a_substitution_macro
         0     0% 82.38%        106  1.84%  operation:recover_all_records_from_the_corrupted_sqlite_wal
         0     0% 82.38%         52   0.9%  operation:recover_blocked_terminal_session
         0     0% 82.38%         75  1.30%  operation:recover_control_from_the_stuck_qemu_session
         0     0% 82.38%        129  2.24%  operation:recover_deleted_source
         0     0% 82.38%        217  3.77%  operation:recover_the_application_password_and_run_it
         0     0% 82.38%        296  5.15%  operation:recover_vanished_server_source_and_secret
         0     0% 82.38%         75  1.30%  operation:redesign_the_candidate
         0     0% 82.38%        191  3.32%  operation:remove_layout_overflow_using_allowed_word_substitutions
         0     0% 82.38%         45  0.78%  operation:repair_daemon_startup
         0     0% 82.38%         82  1.43%  operation:repair_mail_flow
         0     0% 82.38%         37  0.64%  operation:repair_mailman_service_startup
         0     0% 82.38%         39  0.68%  operation:repair_numpy_compatibility
         0     0% 82.38%        240  4.17%  operation:repair_persistent_curl_failure
         0     0% 82.38%         34  0.59%  operation:repair_python_runtime_compatibility
         0     0% 82.38%         28  0.49%  operation:repair_replacement_automation
         0     0% 82.38%         51  0.89%  operation:repair_serialized-data_loading
         0     0% 82.38%         95  1.65%  operation:replicate_retinal-cell_biophysics
         0     0% 82.38%        118  2.05%  operation:reproduce_mystery_renderer
         0     0% 82.38%         45  0.78%  operation:restore_curl_executable
         0     0% 82.38%        123  2.14%  operation:restore_custom_model_registration_in_transformers
         0     0% 82.38%         64  1.11%  operation:restore_usable_terminal_feedback
         0     0% 82.38%        134  2.33%  operation:resume_ad_hoc_candidate_guessing
         0     0% 82.38%         28  0.49%  operation:return_to_targeted_substitution_search
         0     0% 82.38%         81  1.41%  operation:search_a_higher-accuracy_parameter_region
         0     0% 82.38%         30  0.52%  operation:search_core_artifacts
         0     0% 82.38%         29   0.5%  operation:search_line-breaking_substitutions
         0     0% 82.38%         35  0.61%  operation:search_storage_for_wal_bytes_or_copies
         0     0% 82.38%         31  0.54%  operation:search_synonym_variants
         0     0% 82.38%         63  1.10%  operation:search_the_performance-accuracy_tradeoff
         0     0% 82.38%         32  0.56%  operation:seek_network-level_endpoint_redirection
         0     0% 82.38%         32  0.56%  operation:summarize_available_completion_evidence
         0     0% 82.38%         31  0.54%  operation:support_thread-pointer_instructions
         0     0% 82.38%        117  2.03%  operation:test_candidate_bypass_families
         0     0% 82.38%         61  1.06%  operation:trace_executable_behavior
         0     0% 82.38%         99  1.72%  operation:train_cpu_caffe_on_cifar_10
         0     0% 82.38%        151  2.63%  operation:transform_the_million-row_csv_with_vim_macros
         0     0% 82.38%         28  0.49%  operation:validate_mail_flow
         0     0% 82.38%         29   0.5%  operation:validate_repository_access_on_an_alternate_port
         0     0% 82.38%         32  0.56%  operation:validate_repository_hooks_and_https_deployment_locally
         0     0% 82.38%       1360 23.65%  phase:change
         0     0% 82.38%       4390 76.35%  phase:explore
         0     0% 82.38%       5750   100%  project:codetracebench
