 agent: Total 489.0
        275.0 (56.24%): terminus2
        214.0 (43.76%): openhands

 call_id: Total 489.0
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_011mest7f9njsyemlgcbuxku
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_012ialwh88tduirywujj1auw
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_012keymvlhbntk4r4e8aln9p
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_012v4gcvjpixw9bq5d1hhffi
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_012wblqeqouh1rquakyqn61v
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_013ozdgzxc4yxs8xqcshlrtz
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_013rtdhb1uzwvcixymqgtfuu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_014cev1vd84r74ufvitukuhb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_014ndkjagcwddzcp7ek61hit
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_014w1jwj5oex3ki1uy8a97ah
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_015efjyovkt8d2c9tzkplpmw
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_015pqchenwe851qfzcmmhhp2
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_016xbknvmhckxvmapatkfuw2
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017btbtcsddpjkr9xvwqcmpm
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017gsff2fpjyrxpm25ws8ew4
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017oqbs5v4mop2cjslqkhev3
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017p44dsonqnibr8aadccdrt
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019obfbbkszogjmefruiauu2
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019qvekvng8uqe9zfhforgos
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019s9pbangei2ppeocqj2uot
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019uuudnn1sdpkbpu1wgfqzg
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019vyq8dqne9g2ckdokzn8qp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01a7hu2aqwcb4btqyqxrdgus
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01aacza6cxcduerbhpzwmtxx
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01acrfply3ztjbekhhkesbhp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01azxwn4moht4lnqyb2aw7sp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01bbdswxpajumzswkkrg4egm
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01bj7ncsx33akjp2ttd1ogtu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01bzam63pmbxpnlmntxeznzc
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01c1ip9vnshvbed1d2yaim61
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ccmw62mbmg2lvhraujgmrb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01d3gvwquetu9qckxhsj1qrr
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01dhmzv4qqgxmclrvnkjnnga
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01dmf2lsgmpjswhb1pqcqbas
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01drdhrzmuyjnxjdngz9jpm9
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01e1bhndbu2f8mfakqgazcl4
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01e9dys72vnstngavf6nkz9u
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ef7c5aqxnjjianmd7sxw3s
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ehxkuqz4oezo7aj3l7lvk6
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01emjjmuokaew1ducs2dx28e
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01eudimshtnmfyokyk7lokit
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ewxapkp7xabfwruyaw4rxd
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01fh1hxqhyivg97kpyw8te4m
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01g2gsq4foi2wmyyyp5bnkgu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01gbxydarvoukcr6rlgj3khr
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01gcuokeu3qosvq8vczv9q8x
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01gkpxbsdbam3g5ktfbzucyu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01gpixpe9jwczklm1vumdsjj
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01guqt9haq2771fgaa6qruxu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01hjvgchgjsockdqawh9ppii
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01hmupawwakzet82bvdmakd2
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01jmwmsjc7gzqdrxjtxbfkkf
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01jxdip8umnuunxabjfqrzse
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01k8ocftruozocbhrx4q6wcc
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01k9zcbayndeumbqg3dukede
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01kbuxntvxc2ybcejsm55fn4
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01l2tvafxrtityxhbae12icy
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01lovggw8v4sgjucpccuccoo
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01lw3a6vm3jdmqzpgwlmhdrg
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01lxbc6kgfnwdaawgwrcoltb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01mbohvjehp8j7zko5swlc1o
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01mdx3wnhpoh4km2h6yhvynq
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01mfcfjegssrjjajeegc8ifb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01mhac2tvp1u7tnmfzeqrpuh
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01mzu3t8jyqrtvxgmhojp7by
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01n3od4tcgxqujfmc6ifacmj
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01nhtfasl9hkzuk9rx9azmlm
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01nmpjyewsvr4v4q1f5wkydt
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01pk2r1pevbfdht8qydqkmkp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01prrgouwv2xg5nar3ywx9qz
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01qgbydtznuoevetqm3ayp4p
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01qjumerkckqx6sf6osm6pam
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ql9xpbmerhesk7vpp5mhp1
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01qotykuybbr6sfsbvaqmbcl
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r2ev6spcyazup4ke6cctvd
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r4fr5t6kgqmcwqstfwlwml
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r9ntgjhbixghye19intnvb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01rfdvstae23hgvsmr3bwudk
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01rvgsmnwmxkud9d8tk4fj6r
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01rzpzskp1nb8cgphd5by18d
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01s7acj9fmmaxxnd6vcoynfc
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01sade1kqzpgmdsbuhyivm9e
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01sfkyod8m6max9bacxpkwqd
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01smjhx4podd8effpbv9wcb3
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01t7aujvrru4oezqyutbffs5
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01tcudoheycf3gwjvdcv6puy
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01tuy3afma8vepupt5gfs4he
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01tvstechftbudyo38jb749w
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01twmuknuwwltdvfrlqmbsmp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01u5fzuqk5zsmyyyusjxun9y
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01uaexhxpena5awy8miad4x6
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ubzfggwink3rvtptwhdfhj
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01utvfmsmhuxgylxzw6qnvky
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01uw9mfyprbmge2tywpeiog1
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01uygxpmsblmruexr8jp2zbu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01v4dotjngxy9qvw2fo5hptb
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vmkcpxw2rjcpfisd4epngr
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vn5sjvy2gwhmznugybgxy6
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vo2mgxeyfuqnfdqtwisxwk
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vxgo2qqexulb9hfxnxbrdy
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vxxjlxeblbtykqus19tdwa
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01vyjsnafbcqmrtn55aozqcp
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01w3rznrj3nhbv4k5wmemac7
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01waxn37kxk338nrtxgikpru
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01wayk3dkwcnyyqkgvdkpsnc
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01wsugutmdr2uwlf1zkfmrdu
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01wymzmnz15nmxsnyahu71tx
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01x5thahztu4odb6v7lsfxjd
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01x8mjygvh1nbqpsnqqvker4
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01xchn6brytk9tycexfsdgct
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01xkbyn6pzkkvdnc2r8rppub
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01y4expu4i4ep6b4bp1hxk68
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ybj76ubk5ektqz3us9e2dm
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ycbyajlp6xgv82tc39yqah
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ytetseyvst4ibv4d8bjuea
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:06399541fa924cee9d6b8d4e65fe60b7
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0737d255d0094e63b7bfc985ad3937a4
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0a5b92b4e6134b11aab4b0257f453975
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0d173c5234ad40c6b3883db2d8c7b55f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0f7ea635798a49219f7af651e23613e8
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:139aa0a67777485d844e31a736626b50
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:169623c081c549389aa89758c852bef6
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:1ab931316bbf49d8927f26ce934fbd20
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:1d3fe719e2d14c20a4e103f76964dace
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:1e8cfbbf952f41db8f11aa4578e9940d
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2183675570e54b70bd45d5775d2f619e
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:232c9036fc644c87955b07c9387c4a53
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:260a2645ac6c4865982fa4e71296d7e5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:289a7def66324c8dbc3bf0004603f457
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:29ff4130a65b43f193197df4bc445250
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2adf8cedd83242b68133fdc2d4a71ad5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2f84151a5f754c588c1f2d234031e217
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:303892e78d89464ab7809024a58f8df5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:359a510dd55e4b4785b5724f0a3bf273
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:36210a04c30b46bdb5824c8b1ba401b8
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3911cb5d096f468baeef8cce610deb9e
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:39599cd9f1844a8aa565a31913948437
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3a46300e828c4710be3d46fc910b8c85
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3c3e5af0d57b402fbd33aacc5743e956
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3de6a2e867554d37ac03358c843b3e31
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3fb19b10d15f4975b21927bf3f5eb62f
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3fcbc62effe4489bb3ef2805d1a50a15
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4088867312134116a9d3f420ba743c5c
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:447de724ee9a4ebf9adaea8899ac05b5
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:45e960b457ee4427ba3bb9c6c528c093
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:467f8f6594c64c70bb0e3b9bfdce40f0
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:47a967ae4f724d9da0858b6a0dd6d39a
           1.0 (  0.2%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4846ce2671e8462883025a20e1f17ff4
