Type: tokens
Showing nodes accounting for 101921832, 86.89% of 117303194 total
Dropped 676 nodes (cum <= 586515)
         0     0% 86.89%    4558192  3.89%  operation:deploy_git_branches_over_ssh_and_https
         0     0% 86.89%    1237086  1.05%  operation:deploy_reading_group_mailing_list
         0     0% 86.89%     765449  0.65%  operation:design_dual_language_syntax
         0     0% 86.89%    3519628  3.00%  operation:diagnose_additional_instructions
         0     0% 86.89%    1118964  0.95%  operation:diagnose_early_emulator_termination
         0     0% 86.89%     588532   0.5%  operation:diagnose_persistent_overwrite
         0     0% 86.89%    2103587  1.79%  operation:diagnose_rejected_ssh_password_authentication
         0     0% 86.89%     657891  0.56%  operation:diagnose_the_animated_asset_crash
         0     0% 86.89%    1458178  1.24%  operation:diagnose_vm_startup
         0     0% 86.89%    1043507  0.89%  operation:establish_focused_test_behavior
         0     0% 86.89%     753939  0.64%  operation:execute_the_game_in_the_emulator
         0     0% 86.89%    7152875  6.10%  operation:extend_emulator_compatibility
         0     0% 86.89%     955714  0.81%  operation:fix_netflow_v5_binary_encoding
         0     0% 86.89%     788887  0.67%  operation:identify_official_paper_codebases
         0     0% 86.89%    1015168  0.87%  operation:implement_compact_transformer_inference
         0     0% 86.89%    1080777  0.92%  operation:implement_mips_interpreter_for_doom
         0     0% 86.89%    1486340  1.27%  operation:implement_runescape_account_login_and_logout
         0     0% 86.89%     757788  0.65%  operation:infer_the_accepted_password_format
         0     0% 86.89%    1533129  1.31%  operation:inspect_the_public_autoconfig_registration_surface
         0     0% 86.89%    1468776  1.25%  operation:install_a_legacy_operating_system_with_remote_access
         0     0% 86.89%     730733  0.62%  operation:install_build_prerequisites
         0     0% 86.89%     805746  0.69%  operation:integrate_annotated_list-item_parsing
         0     0% 86.89%     829385  0.71%  operation:integrate_note_rendering
         0     0% 86.89%    1744603  1.49%  operation:integrate_web_and_api_behavior
         0     0% 86.89%     738574  0.63%  operation:isolate_emulator_compatibility_with_a_minimal_program
         0     0% 86.89%     645452  0.55%  operation:make_a_final_speed-accuracy_tradeoff_attempt
         0     0% 86.89%    3336697  2.84%  operation:make_pyknotid_compatible_with_numpy_2
         0     0% 86.89%    1247022  1.06%  operation:malformed-html_parser_differentials
         0     0% 86.89%     961584  0.82%  operation:map_list-item_data_flow
         0     0% 86.89%     704913   0.6%  operation:materialize_the_final_script
         0     0% 86.89%    4172690  3.56%  operation:modernize_legacy_3d_asset_conversion
         0     0% 86.89%    1199340  1.02%  operation:navigate_the_interactive_maze
         0     0% 86.89%   17086781 14.57%  operation:port_doom_to_mips
         0     0% 86.89%     743508  0.63%  operation:prepare_cifar_10_data
         0     0% 86.89%     679100  0.58%  operation:prepare_the_patch_for_submission
         0     0% 86.89%     872308  0.74%  operation:rebuild_the_game_for_a_basic_instruction_set
         0     0% 86.89%     914413  0.78%  operation:reconstruct_32-bit_serialized_layouts
         0     0% 86.89%    2883364  2.46%  operation:recover_control_from_the_stuck_qemu_session
         0     0% 86.89%    1241407  1.06%  operation:recover_deleted_source
         0     0% 86.89%   10918516  9.31%  operation:recover_the_application_password_and_run_it
         0     0% 86.89%    4394541  3.75%  operation:recover_vanished_server_source_and_secret
         0     0% 86.89%    2526810  2.15%  operation:redesign_the_candidate
         0     0% 86.89%    1124063  0.96%  operation:refine_compatibility_semantics
         0     0% 86.89%    2484863  2.12%  operation:remove_layout_overflow_using_allowed_word_substitutions
         0     0% 86.89%     732389  0.62%  operation:repair_architecture_compatibility
         0     0% 86.89%    1073130  0.91%  operation:repair_compilation
         0     0% 86.89%     671769  0.57%  operation:repair_mail_flow
         0     0% 86.89%    1611464  1.37%  operation:repair_numpy_compatibility
         0     0% 86.89%     941071   0.8%  operation:repair_persistent_curl_failure
         0     0% 86.89%    1552290  1.32%  operation:repair_python_bindings
         0     0% 86.89%     654702  0.56%  operation:repair_runtime_dependencies
         0     0% 86.89%    2527502  2.15%  operation:repair_serialized-data_loading
         0     0% 86.89%    1050517   0.9%  operation:repair_the_shared-memory_command_interface
         0     0% 86.89%     689939  0.59%  operation:repair_the_target_build
         0     0% 86.89%     851578  0.73%  operation:reproduce_mystery_renderer
         0     0% 86.89%     767285  0.65%  operation:restore_and_reapply_emulator_changes
         0     0% 86.89%    6545020  5.58%  operation:restore_custom_model_registration_in_transformers
         0     0% 86.89%    8031679  6.85%  operation:resume_ad_hoc_candidate_guessing
         0     0% 86.89%    3752637  3.20%  operation:search_a_higher-accuracy_parameter_region
         0     0% 86.89%     762099  0.65%  operation:search_synonym_variants
         0     0% 86.89%    1692931  1.44%  operation:search_the_performance-accuracy_tradeoff
         0     0% 86.89%     754490  0.64%  operation:summarize_available_completion_evidence
         0     0% 86.89%     737006  0.63%  operation:support_missing_calls_and_instructions
         0     0% 86.89%    2896241  2.47%  operation:support_thread-pointer_instructions
         0     0% 86.89%    3825349  3.26%  operation:test_candidate_bypass_families
         0     0% 86.89%    3640163  3.10%  operation:train_cpu_caffe_on_cifar_10
         0     0% 86.89%     635026  0.54%  operation:transform_the_million-row_csv_with_vim_macros
         0     0% 86.89%     802667  0.68%  operation:validate_asset_conversion
         0     0% 86.89%     734528  0.63%  operation:validate_repository_hooks_and_https_deployment_locally
         0     0% 86.89%   28756006 24.51%  phase:change
         0     0% 86.89%   88547188 75.49%  phase:explore
         0     0% 86.89%  117303194   100%  project:codetracebench
