Type: duration
Showing nodes accounting for 3856s, 96.84% of 3982s total
Dropped 221 nodes (cum <= 19s)
         0     0% 96.84%        37s  0.93%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:794be3df951b442ca8715b135e391aba
         0     0% 96.84%        66s  1.66%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7e679ce311a749ee8cebd80338890bb1
         0     0% 96.84%        66s  1.66%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7f30e8e7542e4119b2fd4ee470f4f3ab
         0     0% 96.84%        34s  0.85%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:8b7af0a7917a4366949e4799c4bbac11
         0     0% 96.84%        19s  0.48%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:99e8f369e1ff4769b3de04564b22ad4c
         0     0% 96.84%        33s  0.83%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a53e34a631f04b4e8983d0163a28e445
         0     0% 96.84%        68s  1.71%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a5bd0ccca3744060873b188df0340f3f
         0     0% 96.84%        32s   0.8%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c72fcdb7112e41e1ac00fd5b77c115df
         0     0% 96.84%        71s  1.78%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d1d66fd5e64742d1ac6591affc3383d0
         0     0% 96.84%        40s  1.00%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:de73682a88434f96a86786d5d8732f78
         0     0% 96.84%        71s  1.78%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:f10e2e5a6af64fdbb5c5e35ee9edfa16
         0     0% 96.84%        70s  1.76%  call:openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:fb061aa9915b4757b4c2527f4dcb9c83
         0     0% 96.84%        56s  1.41%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-0
         0     0% 96.84%        28s   0.7%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-1
         0     0% 96.84%        26s  0.65%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-10
         0     0% 96.84%        40s  1.00%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-11
         0     0% 96.84%        42s  1.05%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-12
         0     0% 96.84%        35s  0.88%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-13
         0     0% 96.84%        58s  1.46%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-14
         0     0% 96.84%        54s  1.36%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-15
         0     0% 96.84%        69s  1.73%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-16
         0     0% 96.84%        58s  1.46%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-17
         0     0% 96.84%        62s  1.56%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-18
         0     0% 96.84%        50s  1.26%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-19
         0     0% 96.84%        40s  1.00%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-2
         0     0% 96.84%        68s  1.71%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-20
         0     0% 96.84%        64s  1.61%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-21
         0     0% 96.84%        54s  1.36%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-22
         0     0% 96.84%        37s  0.93%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-23
         0     0% 96.84%        34s  0.85%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-24
         0     0% 96.84%        51s  1.28%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-3
         0     0% 96.84%        41s  1.03%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-4
         0     0% 96.84%        47s  1.18%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-5
         0     0% 96.84%        46s  1.16%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-6
         0     0% 96.84%        31s  0.78%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-7
         0     0% 96.84%        54s  1.36%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-8
         0     0% 96.84%        63s  1.58%  call:terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-9
         0     0% 96.84%        54s  1.36%  operation:bind
         0     0% 96.84%      3982s   100%  operation:build_deployment_system
         0     0% 96.84%        80s  2.01%  operation:compare
         0     0% 96.84%        67s  1.68%  operation:configure_authentication
         0     0% 96.84%       247s  6.20%  operation:configure_endpoints
         0     0% 96.84%        68s  1.71%  operation:configure_redirection
         0     0% 96.84%        64s  1.61%  operation:debug
         0     0% 96.84%      3982s   100%  operation:deploy_branches
         0     0% 96.84%        74s  1.86%  operation:deploy_development_branch
         0     0% 96.84%        30s  0.75%  operation:deploy_primary_branch
         0     0% 96.84%      1492s 37.47%  operation:diagnose_authentication
         0     0% 96.84%        42s  1.05%  operation:diagnose_connection_reset
         0     0% 96.84%       264s  6.63%  operation:diagnose_transport
         0     0% 96.84%        30s  0.75%  operation:disable_authentication_module
         0     0% 96.84%        81s  2.03%  operation:evaluate_fallback
         0     0% 96.84%        62s  1.56%  operation:forward
         0     0% 96.84%       146s  3.67%  operation:implement_deployment
         0     0% 96.84%       201s  5.05%  operation:inspect
         0     0% 96.84%        40s  1.00%  operation:inspect_service_overrides
         0     0% 96.84%        63s  1.58%  operation:inspect_transport
         0     0% 96.84%       127s  3.19%  operation:isolate_authentication
         0     0% 96.84%        79s  1.98%  operation:isolate_transport
         0     0% 96.84%        54s  1.36%  operation:launch_isolated_service
         0     0% 96.84%       186s  4.67%  operation:plan_redirection
         0     0% 96.84%       245s  6.15%  operation:prepare
         0     0% 96.84%        84s  2.11%  operation:provision_infrastructure
         0     0% 96.84%        60s  1.51%  operation:provision_service
         0     0% 96.84%        58s  1.46%  operation:rebind
         0     0% 96.84%        41s  1.03%  operation:reconfigure_access
         0     0% 96.84%       107s  2.69%  operation:reconfigure_authentication
         0     0% 96.84%        53s  1.33%  operation:reconfigure_service
         0     0% 96.84%        71s  1.78%  operation:reconfigure_transport
         0     0% 96.84%        50s  1.26%  operation:redirect
         0     0% 96.84%       112s  2.81%  operation:redirect_endpoint
         0     0% 96.84%       122s  3.06%  operation:repair
         0     0% 96.84%       149s  3.74%  operation:repair_account_setup
         0     0% 96.84%        26s  0.65%  operation:repair_endpoints
         0     0% 96.84%        58s  1.46%  operation:replace
         0     0% 96.84%       118s  2.96%  operation:reproduce
         0     0% 96.84%        72s  1.81%  operation:reset_credentials
         0     0% 96.84%        34s  0.85%  operation:restore
         0     0% 96.84%        31s  0.78%  operation:restore_authentication
         0     0% 96.84%       189s  4.75%  operation:retest
         0     0% 96.84%        37s  0.93%  operation:retry
         0     0% 96.84%        64s  1.61%  operation:test
         0     0% 96.84%       242s  6.08%  operation:test_account_setup
         0     0% 96.84%        27s  0.68%  operation:test_authentication_module
         0     0% 96.84%        36s   0.9%  operation:test_deployment
         0     0% 96.84%        24s   0.6%  operation:test_endpoints
         0     0% 96.84%       115s  2.89%  operation:test_fresh_account
         0     0% 96.84%        76s  1.91%  operation:test_key_authentication
         0     0% 96.84%        69s  1.73%  operation:validate_alternate_access
         0     0% 96.84%       224s  5.63%  operation:validate_alternate_transport
         0     0% 96.84%        44s  1.10%  operation:validate_cloning
         0     0% 96.84%       637s 16.00%  operation:validate_deployment
         0     0% 96.84%        54s  1.36%  operation:validate_endpoints
         0     0% 96.84%        72s  1.81%  operation:validate_fallback_transport
         0     0% 96.84%        49s  1.23%  operation:verify
         0     0% 96.84%      3982s   100%  project:codetracebench
