project,worktree_id,artifact_id,event_id,event_index,ts_ms,session_id,source_stream_id,prompt_index,path,artifact_type,module_anchor,operations,raw_mutation_rows,artifact_episode_ordinal,repeat_episode,validation_outcome,validation_associated
agentsight,e58fce112c6e,agentsight:a00000020,2d446e6a8f8fd548,1811,1780300258336,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,17,README.md,paper/docs,repo-root,write,1,3,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000097,7006a4bce0a949e6,1953,1780301577444,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,37,docs/vis.md,paper/docs,docs,create,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,d79bf1a96cc73427,1999,1780302855962,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,44,collector/src/main.rs,code,collector,write,1,11,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,65276574476c7ce3,2003,1780302886138,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,44,collector/src/main.rs,code,collector,write,1,12,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,61fb361fae2de6e0,2011,1780303052833,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,a01c41e4582d94e8,1,collector/src/main.rs,code,collector,write,1,13,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,99217194629b8ba2,2012,1780303127330,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,a01c41e4582d94e8,1,collector/src/main.rs,code,collector,write,1,14,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,d8e9dec6df6a5320,2015,1780303144806,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,a01c41e4582d94e8,1,collector/src/main.rs,code,collector,write,1,15,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,edeb1a46657d65ac,2016,1780303148656,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,a01c41e4582d94e8,1,collector/src/main.rs,code,collector,write,1,16,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,195fdd63c4d42a33,2029,1780303237525,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,46,collector/src/main.rs,code,collector,write,1,17,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,52aaeb6d2f2c1782,2041,1780303400236,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,18,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,30d2d141dff78ed9,2042,1780303450788,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,19,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,7aba973314586074,2043,1780303467491,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,20,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,19d3c21cfaaf8bb5,2044,1780303471954,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,21,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,f6d9e7a04c30fac7,2049,1780303516182,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,22,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,aad7531953dfabcc,2050,1780303525179,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,23,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,45ced852b1f97404,2054,1780303547784,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/src/main.rs,code,collector,write,1,24,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000073,f3f379a92dc9c28f,2059,1780303572266,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/tests/export_snapshot_test.rs,test,collector,write,1,1,False,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000073,575b6fd6e1ca53f6,2060,1780303577509,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,4a18653595128a5e,1,collector/tests/export_snapshot_test.rs,test,collector,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000020,74a7723bfc45e908,2078,1780303679191,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,46,README.md,paper/docs,repo-root,write,1,4,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,a3478c6790822275,2079,1780303685591,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,46,README.md,paper/docs,repo-root,write,1,5,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,6c407fa268e68066,2088,1780303838143,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,6,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,114cfd404c069def,2089,1780303865519,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,7,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,6dd5a8aae781d698,2090,1780303871554,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,8,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,513bdc2bebfadcab,2091,1780303878667,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,9,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,2cc9dd1306690f00,2093,1780303887364,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,10,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,c61b6e9dbfc39b4a,2096,1780303903069,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,47,README.md,paper/docs,repo-root,write,1,11,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,fc3adafcd58b6073,2114,1780304476290,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,51,README.md,paper/docs,repo-root,write,1,12,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,443ac151ba9a7575,2117,1780304492837,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,51,README.md,paper/docs,repo-root,write,1,13,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,f3439380e164ceb0,2131,1780305895312,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/cli_db.rs,code,collector,write,1,1,False,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,12258c04fb078381,2134,1780305908522,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/cli_db.rs,code,collector,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,7ef3e0284a41c6bc,2138,1780305926485,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/main.rs,code,collector,write,1,25,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,46de8f8e03d211ca,2141,1780305937318,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/main.rs,code,collector,write,1,26,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,28d133609fd9f22d,2144,1780305950500,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/main.rs,code,collector,write,1,27,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,118bac9912cc731e,2151,1780305999969,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/cli_db.rs,code,collector,write,1,3,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,7cfacb4101e81713,2152,1780306004584,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,collector/src/cli_db.rs,code,collector,write,1,4,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000020,2899b7ac8a083145,2158,1780306038620,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,61,README.md,paper/docs,repo-root,write,1,14,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,d022a21132c118ea,2162,1780306078540,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,62,README.md,paper/docs,repo-root,write,1,15,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,734873d27e5970de,2165,1780306173763,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,63,README.md,paper/docs,repo-root,write,1,16,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000020,48bc91e26391a7c1,2169,1780306228968,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,64,README.md,paper/docs,repo-root,write,1,17,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,658f2ec3140f21bf,2182,1780306419691,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,5,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,b21f44a663a7ce48,2183,1780306457506,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,6,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,bd518ffef91d02fe,2184,1780306466800,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,7,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,a9dae006dada1acc,2187,1780306479898,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/main.rs,code,collector,write,1,28,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000099,723fd6a19b3cde44,2189,1780306492343,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_discover.rs,code,collector,write,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,9f0db5a86130d5f1,2195,1780306533888,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,8,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,771ae85f5c7e7971,2196,1780306538944,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,9,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,282aefa786b14222,2197,1780306543735,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,10,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,f4d156b8e13530eb,2198,1780306547514,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,11,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,cb996157a9b317db,2200,1780306555687,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,12,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,cffacbed4f69ad10,2202,1780306564180,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,70,collector/src/cli_db.rs,code,collector,write,1,13,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,316081fb04ea595e,2210,1780308295722,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,73,collector/src/cli_db.rs,code,collector,write,1,14,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,a3a85ec1e3f92ad6,2211,1780308301855,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,15,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,8f01e7d6ade5de00,2216,1780308329150,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,16,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,1539fb4ab59eafc0,2218,1780308338138,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,17,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,aab50d903b0adb72,2220,1780308351058,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,18,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,c077e86a5a565d3b,2227,1780308398832,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,19,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,4b5992688e7d5b22,2228,1780308405104,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,20,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,a18a9af35c23d059,2229,1780308408723,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,74,collector/src/cli_db.rs,code,collector,write,1,21,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,03caab7ef5c56e87,2236,1780308724866,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,75,collector/src/cli_db.rs,code,collector,write,1,22,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,0ac96a72aca65601,2240,1780308752346,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,75,collector/src/cli_db.rs,code,collector,write,1,23,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,386471d36ad891e9,2242,1780308767660,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,75,collector/src/main.rs,code,collector,write,1,29,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,34ee2617f798d5d2,2245,1780308788325,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,75,collector/src/cli_db.rs,code,collector,write,1,24,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,e4162e2a73c95580,2250,1780308827685,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,75,collector/src/cli_db.rs,code,collector,write,1,25,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000100,432a4f3a5226da72,2293,1780309769584,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/session.rs,code,collector,create,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000101,5885ce1dc0532457,2294,1780309848573,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_trace.rs,code,collector,create,1,1,False,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000102,cc8a481902be8bbb,2295,1780309884404,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_debug.rs,code,collector,create,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000103,429bda5799b32571,2296,1780309947036,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_exec.rs,code,collector,create,1,1,False,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,49b9ce4302307896,2297,1780310049734,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/main.rs,code,collector,create,1,30,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000101,a019e0b3b35759ba,2304,1780310079446,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_trace.rs,code,collector,write,1,2,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000101,f4f49d236a58b98b,2305,1780310084677,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_trace.rs,code,collector,write,1,3,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000103,b49f9ee0c6ab814d,2306,1780310088600,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_exec.rs,code,collector,write,1,2,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000103,6ab7eaef5c2b27f8,2307,1780310095249,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/cmd_exec.rs,code,collector,write,1,3,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,29d9e12f95e6553f,2308,1780310100504,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/main.rs,code,collector,write,1,31,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000003,ccae3bdc464df619,2309,1780310103689,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,6dc4139907275f94,1,collector/src/main.rs,code,collector,write,1,32,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000038,8ae25c10f8c4fe5e,2327,1780310228863,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,78,collector/src/framework/analyzers/mod.rs,code,collector,create,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000100,dde8a09bbbd623a4,2337,1780310284208,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,78,collector/src/session.rs,code,collector,write,1,2,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000103,cd3ded1314010b0e,2340,1780310295299,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,78,collector/src/cmd_exec.rs,code,collector,write,1,4,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000003,6da9adbf4fe45d3b,2349,1780310346121,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,78,collector/src/main.rs,code,collector,write,1,33,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,ae0ed72dc48e0e54,2354,1780310373034,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,78,collector/src/cli_db.rs,code,collector,write,1,26,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000078,e74830583abd5a51,2363,1780310602307,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,79,collector/src/cli_db.rs,code,collector,write,1,27,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,3783ae6dc30b626e,2365,1780310610885,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,79,collector/src/cli_db.rs,code,collector,write,1,28,True,competing_supersede,False
agentsight,e58fce112c6e,agentsight:a00000078,d07d73e86f8bb42b,2367,1780310618913,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,cbe0039d33bc1b81,79,collector/src/cli_db.rs,code,collector,write,1,29,True,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000114,736892be072579a8,4004,1780425822496,codex:019e899c-fc11-7d20-bc8d-8706747e90ab,0ce1182acc412bab,2,docs/design/vis/why.md,paper/docs,docs,rename,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000150,629279bacfe2b4e5,4023,1780426040591,codex:019e899c-fc11-7d20-bc8d-8706747e90ab,0ce1182acc412bab,4,docs/design/vis/agent-workspace-map.md,paper/docs,docs,rename,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000180,f48dab879307e69a,5339,1780446662117,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/tests/test_process_ext_map_flush.c,test,bpf,rename,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000181,3ffd7dc3481cee26,5340,1780446662151,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/tests/test_process_ext_mem_info.c,test,bpf,rename,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000182,6a245cdbba58299d,5341,1780446662151,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/tests/test_process_ext_types.c,test,bpf,rename,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000185,95f8622cc0426d92,5351,1780446734397,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/process_new,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000188,7aea77340e2ced6e,5387,1780446973251,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_map_flush,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000189,7aea77340e2ced6e,5387,1780446973251,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_mem_info,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000190,7aea77340e2ced6e,5387,1780446973251,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_types,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000191,0d931bcc05d64d90,5421,1780447108955,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_map_flush,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000192,0d931bcc05d64d90,5421,1780447108955,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_mem_info,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000193,0d931bcc05d64d90,5421,1780447108955,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_types,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000194,e714a72ce1ddef75,5432,1780447151305,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_map_flush,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000195,e714a72ce1ddef75,5432,1780447151305,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_mem_info,other,bpf,delete,1,1,False,observed_validation,True
agentsight,e58fce112c6e,agentsight:a00000196,e714a72ce1ddef75,5432,1780447151305,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,92673f2f959a2dfa,16,bpf/test_process_ext_types,other,bpf,delete,1,1,False,observed_validation,True
