annotator,run,fragment_id,kind,source,model,text_chars,tag,valid,generic
fallback,1,a4722830c4fd3ea0,llm,codex-subagent,gpt-5.5,140,aggregate,True,False
llama,0,48ec4e69fb0ef11b,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,0,c9f400c862f86e49,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,82c4240ba89700f7,llm,codex-subagent,gpt-5.5,140,audit,True,False
llama,0,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,review,True,False
llama,0,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,f1b91d4d8f3bd509,llm,codex-subagent,gpt-5.5,139,auditdoc,True,False
llama,0,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,prompt,True,True
llama,0,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,reviewtag,True,False
llama,0,ec1a7b743ac8fcda,llm,codex-subagent,gpt-5.5,140,inspect,True,False
llama,0,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,0,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,31af72c582954345,llm,codex-subagent,gpt-5.5,139,llmctl,True,False
llama,0,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,0,397d72052517d166,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,4688fd096cef8ae1,llm,codex-subagent,gpt-5.5,140,verifydraft,True,False
llama,0,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,0,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,0,2889cb08e4045e15,llm,codex-subagent,gpt-5.5,140,validation,True,False
llama,0,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,reviewing,True,False
llama,0,401e892797685de1,session,codex-subagent,gpt-5.5,547,reviewing,True,False
llama,0,e242d6b300595120,llm,codex-subagent,gpt-5.5,140,extract,True,False
llama,0,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,revise,True,False
llama,0,922f39744e4630e5,session,codex,gpt-5.5,184,reporting,True,False
llama,0,a4722830c4fd3ea0,llm,codex-subagent,gpt-5.5,140,codextag,True,False
llama,1,48ec4e69fb0ef11b,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,1,c9f400c862f86e49,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,82c4240ba89700f7,llm,codex-subagent,gpt-5.5,140,audit,True,False
llama,1,a9c522de28304263,prompt,codex-subagent,gpt-5.5,180,review,True,False
llama,1,b869d91ad3d1de1b,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,f1b91d4d8f3bd509,llm,codex-subagent,gpt-5.5,139,auditdoc,True,False
llama,1,99113865a33c4c55,prompt,codex-subagent,gpt-5.5,179,prompt,True,True
llama,1,e49a9c95c3f6a844,session,codex-subagent,gpt-5.5,184,reviewtag,True,False
llama,1,ec1a7b743ac8fcda,llm,codex-subagent,gpt-5.5,140,inspect,True,False
llama,1,103073913b173c6e,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,1,0cee5b2683769424,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,31af72c582954345,llm,codex-subagent,gpt-5.5,139,llmctl,True,False
llama,1,e92eb1bb7a312ad6,prompt,codex-subagent,gpt-5.5,180,reviewdoc,True,False
llama,1,397d72052517d166,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,4688fd096cef8ae1,llm,codex-subagent,gpt-5.5,140,verifydraft,True,False
llama,1,7f071316437fc41b,prompt,codex-subagent,gpt-5.5,180,prompt,True,True
llama,1,9d24d3b8cbe00c2e,session,codex-subagent,gpt-5.5,185,reviewdoc,True,False
llama,1,2889cb08e4045e15,llm,codex-subagent,gpt-5.5,140,validation,True,False
llama,1,18fc80ae391c63cb,prompt,codex-subagent,gpt-5.5,180,reviewing,True,False
llama,1,401e892797685de1,session,codex-subagent,gpt-5.5,547,reviewing,True,False
llama,1,e242d6b300595120,llm,codex-subagent,gpt-5.5,140,extract,True,False
llama,1,d57a089c0c860b54,prompt,codex-subagent,gpt-5.5,180,revise,True,False
llama,1,922f39744e4630e5,session,codex,gpt-5.5,184,reporting,True,False
llama,1,a4722830c4fd3ea0,llm,codex-subagent,gpt-5.5,140,codextag,True,False
