dimension,active_display_tag,raw_tag_count,support,raw_support_pct,review_required_rows,review_required_support,review_required_support_pct,long_tail_rows,long_tail_support,candidate_rows,active_merge_rows,raw_tags,governance_actions,top_processes,top_effects,top_paths,top_context_tags
prompt,analyze,2,11460,2.376,0,0,0.0,1,3,0,1,analyze=11457; rqanalyze=3,keep_head=1; auto_canonicalize_existing=1,tool/tool=1683; docker=1294; python3=1178; sed=1154; rg=1068; tail=997,process=5727; read=5053; write=323; repo=148; test=144; network=65,none=4794; docs/visexp=2357; task-runs=632; tmp=304; collector/src=242; corpus=214,analyze=10182; refactor=1240; test=83; design=83; docs=72; backup=1
llm,design,1,9592,1.988,0,0,0.0,0,0,0,0,design=9592,keep_head=1,,,,review=265105638758; design=192828433349; refactor=99999540270; test=32636535064; research=31178247284; designcodex=20555081723
llm,test,4,9192,1.905,0,0,0.0,3,8,0,3,test=9184; testcase=6; smoketest=1; testcases=1,auto_canonicalize_existing=3; keep_head=1,,,,refactor=16872277572; testcodex=8300797894; review=7320762161; trace=4205758292; diffpatch=2760030488; testrewrite=2042924363; smoketest=27714; research=84
prompt,test,3,8095,1.678,0,0,0.0,2,83,0,2,test=8012; testcase=81; smoketest=2,auto_canonicalize_existing=2; keep_head=1,sed=1230; tool/tool=1203; rg=980; git=916; find=361; python3=310; cargo=16; bash=6,read=4247; process=3365; test=199; repo=110; write=100; network=74,none=2555; collector/src=1153; corpus=569; tmp=484; vendor=302; runner=276; bpfopt=47; bpfopt-loader-katran-min-repeat1=3,refactor=3458; review=1824; design=1282; research=815; test=346; debug=221; smoketest=3
llm,tokenize,1,7402,1.534,0,0,0.0,0,0,0,0,tokenize=7402,keep_head=1,,,,review=147698595506; refactor=133962715668; test=14590948618; trace=10713577094; feedback=8740201875; docs=7333977446
llm,report,1,6494,1.346,0,0,0.0,0,0,0,0,report=6494,keep_head=1,,,,research=569048930420; commitlog=462112440758; refactor=376782499248; explain=72767463761; review=31517791297; test=22721780090
llm,review,1,5248,1.088,0,0,0.0,0,0,0,0,review=5248,keep_head=1,,,,review=13570669476; refactor=6655678383; docs=1640922844; merge=574123596; procfs=452010463; log=398643775
session,test,2,5192,1.076,0,0,0.0,1,2,0,1,test=5190; smoketest=2,auto_canonicalize_existing=1; keep_head=1,git=1094; sed=860; rg=764; tool/tool=418; find=276; python3=266; printf=2,read=3276; process=1612; test=198; network=40; write=38; repo=28,none=1330; bpf=652; collector/src=548; docs/eval_scripts=312; docs/corpus-test=302; docs/eval.md=184,testcodex=982; refactor=968; test=329; design=270; eval=262; review=231; smoketest=2
prompt,docs,15,4859,1.007,0,0,0.0,10,473,0,14,docs=3477; docupdate=446; docwrite=174; doc=171; docsfix=118; docsanalyze=90; docrewrite=82; docsupdate=68; docszh=68; docsreview=66; testdocs=40; updatedocs=25; docu=23; rmarkdownfix=10; docsorganize=1,auto_canonicalize_existing=14; keep_head=1,rg=804; sed=729; git=638; tool/tool=449; nl=252; python3=180; find=43; python=39,read=2873; process=1759; repo=70; test=57; write=54; network=45,none=1144; collector/src=267; readme.md=199; scripts=197; docs/design=163; readme.zh-cn.md=117; script=94; docs/visexp=89,docs=2131; review=1358; refactor=380; design=355; research=200; test=196; analyze=144; docwrite=92
prompt,research,1,4736,0.982,0,0,0.0,0,0,0,0,research=4736,keep_head=1,sed=937; rg=716; git=703; cargo=366; python3=252; tool/tool=246,read=2735; process=1456; test=362; repo=131; write=50; network=2,none=1367; crates=553; bpfix-bench=351; docs/tmp=287; bpfopt=218; tmp=139,research=4073; design=528; test=105; docs=67; refactor=28; analyze=17
prompt,benchmark,2,4050,0.84,0,0,0.0,1,17,0,1,benchmark=4033; benchfix=17,auto_canonicalize_existing=1; keep_head=1,sed=1012; tool/tool=994; rg=829; find=168; nl=112; cargo=105; python3=3; ls=1,read=2388; process=1533; test=113; write=16,native-sim=1359; none=1227; corpus=407; vendor=316; runner=157; micro=101; bpfix-bench=10; .c=1,refactor=3994; research=64
llm,docs,12,3519,0.729,0,0,0.0,5,11,0,11,docs=3335; docsupdate=45; docupdate=34; updatedocs=32; docwrite=24; doc=22; docu=16; document=4; docrewrite=3; docsfix=2; rqrewrite=1; writedocs=1,auto_canonicalize_existing=11; keep_head=1,,,,docs=24352123126; test=8525880300; docsanalyze=6108071239; codex=5059187265; analyze=3211785478; testdocs=2787237820; summary=146715413; docsupdate=142370633
session,docs,3,3392,0.703,0,0,0.0,2,100,0,2,docs=3292; docwrite=90; docsupdate=10,auto_canonicalize_existing=2; keep_head=1,rg=574; sed=464; git=340; tool/tool=278; nl=268; python3=190; opencode=14; tool/plan=2,read=1840; process=1400; write=56; test=50; repo=34; network=12,none=688; collector/src=450; scripts=268; experiments=244; agentsight=168; agentcgroup=134; .opencode=20; bpf=12,docs=1623; codex=402; test=161; docsfix=118; refactor=109; docsanalyze=90; docwrite=90; docsupdate=10
llm,debug,5,1959,0.406,0,0,0.0,3,15,0,4,debug=1816; fix=128; fixwarn=9; fixes=3; warnfix=3,auto_canonicalize_existing=4; keep_head=1,,,,trace=271124795; hint=236888631; test=206254335; match=138609945; config=137545515; review=106838098; refactor=1543533; debug=921994
prompt,debug,1,1587,0.329,0,0,0.0,0,0,0,0,debug=1587,keep_head=1,rg=354; tool/tool=314; sed=295; git=90; python3=80; nl=49,read=869; process=660; write=34; test=20; network=4,none=502; llvm-backend=146; micro=122; tests/unittest=97; module=94; bpfopt=85,refactor=1198; cleanlocal=187; research=108; review=79; test=22; design=13
prompt,explain,1,1463,0.303,0,0,0.0,0,0,0,0,explain=1463,keep_head=1,git=373; sed=251; rg=218; cargo=188; tool/plan=82; python3=53,read=844; process=365; test=160; repo=81; write=13,none=558; crates=193; examples=82; readme.md=69; docs/evaluation=52; tmp=43,research=1209; refactor=230; review=30; test=6
llm,build,1,1432,0.297,0,0,0.0,0,0,0,0,build=1432,keep_head=1,,,,docs=11094981; build=8965387; refactor=4746737; review=2772486; test=2654370; commit=1022795
prompt,trace,2,1411,0.292,0,0,0.0,1,10,0,1,trace=1401; rootpidrefs=10,auto_canonicalize_existing=1; keep_head=1,sed=286; rg=284; git=207; tool/tool=99; cargo=68; python3=43,read=890; process=394; test=60; network=33; write=26; repo=8,none=371; collector/src=288; bpf=90; docs/design=78; runner=60; tmp=56; docs/visexp=10,review=675; refactor=258; test=131; analyze=130; design=109; docs=88; rootpidrefsc=15
prompt,commitlog,1,1361,0.282,0,0,0.0,0,0,0,0,commitlog=1361,keep_head=1,sed=265; cargo=258; git=200; rg=182; tool/subagent=121; python3=94,read=644; process=424; test=238; repo=44; write=11,none=502; crates=391; bpfix-bench=156; scripts=50; docs/error-catalog.yaml=39; docs/evaluation=27,research=1362
prompt,ignored,1,1221,0.253,1,1221,100.0,0,0,1,0,ignored=1221,contextual_split_candidate=1,sed=254; tool/tool=206; git=202; rg=149; python3=109; llvm-objdump=37,read=680; process=484; write=46; test=8; repo=3,llvm-backend=381; none=335; micro=187; module=103; llvm=44; bpfopt=20,refactor=1222
session,uxdesign,1,1148,0.238,1,1148,100.0,0,0,1,0,uxdesign=1148,auto_canonicalize_existing=1,rg=324; sed=258; wc=180; git=164; cargo=112; nl=78,read=1010; test=86; process=52,collector/src=616; none=178; docs/design=82; .rs=62; collector/tests=54; src=44,review=278; uxdesigncodx=224; docx=198; codexcheck=176; codexinteg=100; design=48
prompt,designcodex,1,1074,0.223,1,1074,100.0,0,0,1,0,designcodex=1074,auto_canonicalize_existing=1,rg=376; sed=186; cargo=162; find=118; git=96; wc=34,read=834; test=152; process=84; repo=4,collector/src=638; collector/cargo.toml=160; collector/tests=84; docs/design=62; none=60; .rs=48,design=1075
llm,research,1,1068,0.221,0,0,0.0,0,0,0,0,research=1068,keep_head=1,,,,research=3071462200; test=2892242003; review=1773504540; refactor=748458998; debug=281706162; network=275484704
prompt,testcodex,1,982,0.204,1,982,100.0,0,0,1,0,testcodex=982,auto_canonicalize_existing=1,git=248; sed=183; rg=149; tool/tool=51; find=44; actplane=43,read=675; process=265; test=23; network=12; repo=7,none=204; bpf=124; collector/src=109; docs/corpus-test=75; docs/eval_scripts=72; docs/eval.md=50,test=1010
session,branding,1,955,0.198,0,0,0.0,0,0,0,0,branding=955,keep_head=1,git=196; tool/tool=142; gh=109; sed=92; set=71; find=40,process=421; read=338; network=105; repo=58; write=28; test=5,none=341; eunomia-bpf=99; .github/workflows=60; package=49; yunwei37=38; tmp=29,branding=509; refactor=198; npmpr=71; setup=63; feedback=29; design=22
prompt,commit,1,739,0.153,0,0,0.0,0,0,0,0,commit=739,keep_head=1,git=280; gh=153; sed=65; cargo=44; rg=41; tool/tool=27,read=364; process=290; repo=44; test=24; write=9; network=8,none=348; collector/src=161; collector/cargo.toml=32; origin=29; tmp=28; collector/cargo.lock=18,design=420; review=276; research=29; test=19
prompt,build,1,724,0.15,0,0,0.0,0,0,0,0,build=724,keep_head=1,git=100; cd=92; rg=86; tool/edit=78; find=60; sed=44,process=354; read=325; test=22; write=13; repo=9; network=1,collector/src=155; none=109; runner=35; docs/tmp=28; docs/eval_scripts=28; src=26,build=275; review=147; research=110; design=96; test=89; refactor=21
prompt,validate,1,658,0.136,0,0,0.0,0,0,0,0,validate=658,keep_head=1,git=165; tool/tool=137; rg=124; find=39; sed=36; python3=35,read=426; process=227; write=5,none=193; runner=82; vendor=63; bpfopt=58; docs/eval_scripts=58; docs/tmp=38,refactor=489; test=180; analyze=11
session,cleanup,1,604,0.125,0,0,0.0,0,0,0,0,cleanup=604,keep_head=1,du=224; docker=138; tool/tool=104; df=40; rm=22; find=16,process=574; read=26; write=4,none=298; home=82; var=42; yunwei37=40; /=32; tmp=20,cleanup=180; review=156; cleanups=106; cleanse=52; refactor=44; gcutoff=28
llm,trace,2,571,0.118,0,0,0.0,1,5,0,1,trace=566; rootpidrefs=5,auto_canonicalize_existing=1; keep_head=1,,,,workspace=9162945; test=900445; refactor=770118; explain=457357; review=365749; perfcheck=336958; rootpidrefs=165
prompt,feedback,1,567,0.118,0,0,0.0,0,0,0,0,feedback=567,keep_head=1,sed=145; rg=108; git=50; cargo=44; tool/tool=34; find=32,read=354; process=172; test=34; write=4; repo=3,collector/src=166; none=163; bpf=56; tmp=33; collector/adapters=19; collector/tests=13,review=465; test=75; branding=30
prompt,evaluate,2,547,0.113,0,0,0.0,0,0,0,1,evaluate=274; eval=273,auto_canonicalize_existing=1; keep_head=1,sed=104; python3=84; rg=71; find=57; tool/tool=36; git=35; cat=20; jq=16,read=350; process=193; write=3; test=1,docs/corpus-test=92; none=87; docs/experiment-plans=56; docs/design=41; docs/tmp=40; micro=19; workspace=18; docs/eval.md=18,test=271; design=132; analyze=98; refactor=65; research=12
prompt,compare,1,535,0.111,0,0,0.0,0,0,0,0,compare=535,keep_head=1,tool/tool=121; rg=83; sed=55; python3=45; jq=39; set=37,read=274; process=248; write=11; network=2,none=196; corpus=57; tmp=33; vendor=30; micro=28; docs/micro-bench-status.md=22,refactor=468; docs=41; research=36; test=10; design=1
prompt,branding,1,509,0.106,0,0,0.0,0,0,0,0,branding=509,keep_head=1,git=95; gh=73; tool/tool=61; sed=58; find=25; rg=23,process=214; read=193; network=60; repo=31; write=6; test=5,none=161; eunomia-bpf=75; yunwei37=31; .github/workflows=29; npm=20; packaging=16,branding=515
llm,validate,1,508,0.105,0,0,0.0,0,0,0,0,validate=508,keep_head=1,,,,review=5232417; refactor=1605995; explain=972423; metrics=452466; test=82865; rawsslok=41148
prompt,setup,1,498,0.103,0,0,0.0,0,0,0,0,setup=498,keep_head=1,cd=224; tool/edit=50; tool/read=38; git=38; tool/subagent=30; tool/tool=24,process=373; network=54; read=50; test=12; repo=6; write=3,none=107; collector/src=104; repo=56; readme.md=22; tmp=22; ghcr.io=16,review=357; test=80; branding=64
prompt,merge,1,472,0.098,0,0,0.0,0,0,0,0,merge=472,keep_head=1,git=119; rg=52; python3=49; sed=49; gh=29; tool/tool=23,read=222; process=146; write=45; network=29; repo=17; test=13,none=226; collector/src=108; collector/target=26; frontend/src=20; collector/cargo.toml=10; collector/vendor=9,review=477
prompt,report,1,454,0.094,0,0,0.0,0,0,0,0,report=454,keep_head=1,sed=85; git=80; agentsight=64; tool/tool=48; rg=47; cargo=34,read=234; process=198; test=12; write=10,none=123; collector/src=114; .cargo=48; runner=46; micro=31; agentsight=28,report=291; refactor=166
prompt,capture,1,435,0.09,0,0,0.0,0,0,0,0,capture=435,keep_head=1,rg=171; git=53; cargo=42; nl=36; sed=28; python3=25,read=322; process=65; test=34; write=10; repo=4,none=92; crates=58; readme.md=42; docs/bpfix-py=41; bpfix-bench=34; docs/open-source-tool-design.md=30,research=436
session,cleanlocal,1,414,0.086,0,0,0.0,0,0,0,0,cleanlocal=414,keep_head=1,tool/tool=216; du=86; df=38; docker=26; findmnt=16; ps=12,process=404; read=10,none=266; /=44; var=20; home=20; yunwei37=12; workspace=10,diskfull=222; debug=186; refactor=6
prompt,codex,1,402,0.083,1,402,100.0,0,0,1,0,codex=402,contextual_split_candidate=1,git=126; nl=78; rg=50; rustfmt=48; sed=44; cargo=22,read=302; process=78; test=22,collector/src=202; agentsight=74; none=44; bpf=32; docs/plan_branchcontext_motivation_experiments.md=16; scripts=12,docs=404
prompt,deployed,1,401,0.083,0,0,0.0,0,0,0,0,deployed=401,keep_head=1,gh=161; tool/tool=82; git=58; sed=30; rg=26; curl=18,process=259; read=98; network=23; repo=17; test=4,none=289; app=58; test=16; tmp=8; .ts=4; skills=4,refactor=237; review=166
prompt,verify,4,392,0.081,0,0,0.0,3,13,0,3,verify=379; jsonokno=10; verifyimport=2; rawsslok=1,auto_canonicalize_existing=3; keep_head=1,rg=102; sed=90; git=35; grep=32; tool/read=30; find=23; python=6; python3=4,read=299; process=70; test=14; write=8,none=56; module=49; tests/unittest=47; collector/src=44; bpfopt=43; runner=37; docs/visexp=8,refactor=285; verify=80; jsonokno=15; severity=13; grep=11; verifyimport=3; rawsslok=1; sslverify=1
llm,audit,1,386,0.08,0,0,0.0,0,0,0,0,audit=386,keep_head=1,,,,refactor=16580193; audit=13296737; review=289700; build=110620; explore=61698; test=53379
llm,uxdesign,1,357,0.074,1,357,100.0,0,0,1,0,uxdesign=357,auto_canonicalize_existing=1,,,,review=1152922522; docx=769754031; codexcheck=474901594; codexinteg=401430163; refactor=383636057; uxdesigncodx=302513465
session,audit,1,317,0.066,0,0,0.0,0,0,0,0,audit=317,keep_head=1,grep=124; git=52; nl=29; tool/read=28; sed=14; wc=14,read=279; process=38,collector/src=162; docs/visexp=84; none=11; agentflame/src=10; .rs=8; s=4,refactor=178; audit=139
llm,verify,3,314,0.065,0,0,0.0,1,1,0,2,verify=303; jsonokno=10; verifyimport=1,auto_canonicalize_existing=2; keep_head=1,,,,test=16976049; refactor=895601; commit=431405; query=427996; review=338631; verify=199584; verifyimport=11555; jsonokno=185
llm,check,1,294,0.061,1,294,100.0,0,0,1,0,check=294,regenerate_candidate=1,,,,refactor=2709619; review=1050982; merge=479675; metrics=159701; test=116453; docs=84193
prompt,summary,1,292,0.061,0,0,0.0,0,0,0,0,summary=292,keep_head=1,sed=81; git=66; rg=61; rm=24; cargo=22; tool/tool=8,read=212; process=46; test=18; write=12; repo=4,collector/src=64; none=53; readme.md=32; docs/fixtures=30; collector/tests=19; collector/cargo.toml=19,review=193; design=59; test=31; docs=18
prompt,todo,1,292,0.061,0,0,0.0,0,0,0,0,todo=292,keep_head=1,tool/tool=60; rg=38; sed=38; git=36; actplane=28; cargo=22,process=140; read=118; test=22; write=12,none=116; bpf=36; collector/target=26; :_docs=24; readme.md=14; script=12,review=293
session,report,1,290,0.06,0,0,0.0,0,0,0,0,report=290,keep_head=1,agentsight=64; sed=60; git=38; rg=36; cargo=34; sha256sum=18,read=150; process=126; test=12; write=2,collector/src=114; none=56; .cargo=48; agentsight=28; collector/target=20; binary=4,report=290
session,refactorchk,1,288,0.06,0,0,0.0,0,0,0,0,refactorchk=288,keep_head=1,sed=118; rg=102; find=48; for=16; git=2; pwd=2,read=270; process=18,collector/src=122; frontend/src=56; .ts=20; .tsx=20; .rs=18; collector/tests=8,review=288
session,debug,1,280,0.058,0,0,0.0,0,0,0,0,debug=280,keep_head=1,tool/read=60; grep=40; cd=38; git=22; gh=18; find=14,process=174; read=88; write=8; repo=8; test=2,collector/src=102; none=50; tmp=38; -home-yunwei37-workspace-agentsight=12; collector/target=12; bpf=10,test=218; refactor=40; trace=22
session,build,1,274,0.057,0,0,0.0,0,0,0,0,build=274,keep_head=1,cd=92; tool/edit=76; tool/read=42; grep=28; cargo=18; echo=18,process=230; read=28; test=16,collector/src=126; src=26; repo=20; none=18; claude.md=14; docs/design=14,build=274
llm,cleanup,1,266,0.055,0,0,0.0,0,0,0,0,cleanup=266,keep_head=1,,,,test=422042; lint=255235; review=93117; monitor=64100; analyze=2411; cleanup=2024
prompt,tag,1,259,0.054,0,0,0.0,0,0,0,0,tag=259,keep_head=1,git=69; sed=55; pythonpath_agentflame=30; tool/plan=17; find=17; rg=17,read=146; process=74; repo=23; network=13; test=3,none=59; frontend/src=39; collector/src=30; tmp=24; agentflame/agentflame=24; agentflame/tests=22,analyze=277
prompt,reviewbu,1,254,0.053,1,254,100.0,0,0,1,0,reviewbu=254,auto_canonicalize_existing=1,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,reviewbu=255
session,reviewbu,1,254,0.053,1,254,100.0,0,0,1,0,reviewbu=254,auto_canonicalize_existing=1,nl=110; rg=96; git=30; find=18,read=254,collector/src=138; none=30; frontend/src=18; collector/tests=8; .rs=8; collector/adapters=6,reviewbu=254
llm,evaluate,2,253,0.052,0,0,0.0,0,0,0,1,evaluate=173; eval=80,auto_canonicalize_existing=1; keep_head=1,,,,review=4226; analyze=1895; design=1680; commitlog=1004; research=983; test=965; evaluate=807; validate=579
prompt,meta,1,232,0.048,0,0,0.0,0,0,0,0,meta=232,keep_head=1,git=80; cargo=32; rg=22; sed=20; cd=17; nl=14,read=122; process=62; test=27; repo=19; network=2,none=98; collector/src=54; readme.md=9; readme.zh-cn.md=9; tmp=7; eunomia-bpf=6,design=233
prompt,lint,1,230,0.048,0,0,0.0,0,0,0,0,lint=230,keep_head=1,cd=132; tool/edit=52; tool/read=42; make=2; tool/tool=2,process=218; network=12,collector/src=108; repo=42; collector=24; docker:=6; trace=6; .github/workflows=4,review=231
session,backup,1,230,0.048,0,0,0.0,0,0,0,0,backup=230,keep_head=1,jq=56; find=48; python3=16; ai-agent-trace-backups=12; tar=12; tool/tool=12,read=116; process=112; write=2,none=160; workspace=30; yunwei37=10; .claude=6; s_home=6; subagents=4,backup=116; review=114
prompt,uxdesigncodx,1,224,0.046,0,0,0.0,0,0,0,0,uxdesigncodx=224,keep_head=1,sed=78; rg=62; git=40; cargo=22; tool/plan=18; agentsight=4,read=180; process=26; test=18,collector/src=88; none=30; readme.md=22; readme.zh-cn.md=20; collector/tests=16; docs/design=12,uxdesign=228
prompt,diskfull,1,222,0.046,0,0,0.0,0,0,0,0,diskfull=222,keep_head=1,du=86; tool/tool=76; findmnt=16; docker=12; df=10; find=10,process=212; read=10,none=102; /=20; home=20; var=16; yunwei37=12; workspace=10,cleanlocal=223
prompt,cleanup,1,216,0.045,0,0,0.0,0,0,0,0,cleanup=216,keep_head=1,docker=83; du=43; tool/tool=28; df=19; systemctl=8; rm=7,process=205; read=8; write=3,none=127; home=22; /=17; .cache=10; tmp=10; var=10,cleanup=192; analyze=39
llm,benchmark,3,202,0.042,0,0,0.0,1,1,0,2,benchmark=175; bench=26; benchfix=1,auto_canonicalize_existing=2; keep_head=1,,,,refactor=3895; research=1467; analyze=770; commitlog=498; test=427; benchmark=402; eval=57
prompt,docx,1,198,0.041,0,0,0.0,0,0,0,0,docx=198,keep_head=1,wc=64; git=48; cargo=36; sed=34; rg=16,read=162; test=26; process=10,collector/src=146; none=52,uxdesign=199
prompt,testcodexrun,1,198,0.041,1,198,100.0,0,0,1,0,testcodexrun=198,auto_canonicalize_existing=1,find=42; python3=32; tool/tool=30; sed=28; git=16; llama-server=12,read=98; process=92; network=6; write=2,none=60; docs/eval_scripts=32; docs/corpus-rq1=18; docs/corpus=16; build=14; collector/src=10,test=199
session,license,1,196,0.041,0,0,0.0,0,0,0,0,license=196,keep_head=1,git=56; rg=34; sed=32; tool/tool=12; printf=10; python3=10,read=94; process=60; repo=26; network=10; test=6,none=82; collector/src=14; bpf=12; docs/case-study=8; frontend/next.config.js=4; repo=4,test=73; refactor=60; doc=38; docgen=25
prompt,audit,1,187,0.039,0,0,0.0,0,0,0,0,audit=187,keep_head=1,git=65; nl=42; rg=19; sed=18; wc=14; jq=10,read=177; process=10,docs/visexp=102; docs/design=18; agentflame/src=17; none=12; .agentsight/agentflame=6; osdi-experiment-design=5,audit=141; analyze=32; design=20; test=1
prompt,ignore,1,185,0.038,0,0,0.0,0,0,0,0,ignore=185,keep_head=1,rg=61; git=50; sed=14; find=11; nl=9; python3=9,read=156; process=16; write=7; repo=6,runner=52; micro=52; none=18; bpf=15; llvm-backend=9; analysis=8,refactor=145; review=34; test=12
prompt,restart,1,185,0.038,0,0,0.0,0,0,0,0,restart=185,keep_head=1,rg=115; sed=28; git=25; nl=9; wc=5; cargo=2,read=182; process=3,readme.zh-cn.md=19; collector/readme.md=18; collector/readme.zh-cn.md=18; readme.md=18; claude.md=16; none=14,review=186
prompt,workspace,1,180,0.037,0,0,0.0,0,0,0,0,workspace=180,keep_head=1,tool/read=48; git=38; grep=33; tool/edit=19; find=9; agentsight=6,read=90; process=85; test=4; write=1,collector/src=104; none=17; bpf=14; collector/target=8; .claude=7; head_3:collector=7,refactor=181
prompt,analyzesess,1,179,0.037,1,179,100.0,0,0,1,0,analyzesess=179,auto_canonicalize_existing=1,rg=38; python3=29; sed=27; git=21; find=13; tool/tool=10,read=114; process=62; repo=3,docs/visexp=104; none=36; collector/src=8; paper=6; osdi-experiment-design=3; skills=2,analyze=185
prompt,codexcheck,1,176,0.036,1,176,100.0,0,0,1,0,codexcheck=176,regenerate_candidate=1,wc=54; rg=46; git=28; cargo=26; sed=18; nl=4,read=150; test=18; process=8,collector/src=78; src=38; none=34; .rs=14; collector/tests=8; docs/design=4,uxdesign=177
prompt,log,1,171,0.035,0,0,0.0,0,0,0,0,log=171,keep_head=1,git=35; rg=33; nl=23; sed=17; cargo=15; find=13,read=129; process=28; test=14,collector/src=75; none=47; bpf=10; micro=9; collector/cargo.toml=4; collector/adapters=4,review=140; refactor=26; test=9
llm,update,1,168,0.035,1,168,100.0,0,0,1,0,update=168,regenerate_candidate=1,,,,review=242415819; refactor=825135; metrics=161249; test=117141; build=88845; design=1146
prompt,metrics,1,168,0.035,0,0,0.0,0,0,0,0,metrics=168,keep_head=1,gh=47; agentsight=20; cd=19; ls=11; curl=10; tool/read=8,process=115; read=30; network=13; write=8; repo=1; test=1,eunomia-bpf=37; none=22; collector/target=20; frontend/scripts=12; frontend/src=11; .status_+_=9,review=169
session,visdesign,1,164,0.034,1,164,100.0,0,0,1,0,visdesign=164,auto_canonicalize_existing=1,sed=36; cargo=16; python3=16; find=14; jq=14; nl=14,read=108; process=54; write=2,docs/design=84; none=20; frontend/src=20; collector/cargo.toml=16; docs/sample-snapshot.json=6; collector/target=2,docgen=100; visdesign=64
prompt,diagram,1,158,0.033,0,0,0.0,0,0,0,0,diagram=158,keep_head=1,git=72; find=22; sed=20; rg=18; for=14; tool/plan=8,read=132; process=26,docs/design=120; none=12; agent-run-map.md=4; agent-workspace-map.md=4; causal-timeline.md=4; intent-to-effect-flame-graph.md=4,design=159
prompt,cli,1,157,0.033,0,0,0.0,0,0,0,0,cli=157,keep_head=1,tool/read=40; grep=20; git=20; uvx=14; find=12; cargo=8,process=80; read=69; test=6; write=2,collector/src=90; none=49; .rs=6; tmp=4; home=3; collector/cargo.toml=2,cli=77; test=46; analyze=37; design=1
