stratum_type,project,vendor,tool_family,calls,share,ok,fail,observed,decisive_failure_rate,observed_share
project,ActPlane,ALL,edit,8771,0.13241643769437483,4800,191,3780,0.03826888399118413,0.4309656823623304
project,ActPlane,ALL,fetch,769,0.011609650049820345,746,18,5,0.02356020942408377,0.006501950585175552
project,ActPlane,ALL,multimodal,67,0.0010115039705305112,17,2,48,0.10526315789473684,0.7164179104477612
project,ActPlane,ALL,network/other,23,0.0003472327063015188,23,0,0,0.0,0.0
project,ActPlane,ALL,other,67,0.0010115039705305112,59,5,3,0.078125,0.04477611940298507
project,ActPlane,ALL,plan/goal,761,0.011488873456324164,3,6,752,0.6666666666666666,0.988173455978975
project,ActPlane,ALL,read,4243,0.0640568857755367,4212,30,1,0.007072135785007072,0.00023568230025925054
project,ActPlane,ALL,search,1179,0.017799450466499594,1166,5,8,0.004269854824935952,0.006785411365564037
project,ActPlane,ALL,shell,40994,0.6188894592228026,38198,1346,1450,0.03403803358284443,0.035371029906815635
project,ActPlane,ALL,skill,23,0.0003472327063015188,23,0,0,0.0,0.0
project,ActPlane,ALL,task,377,0.0056915969685075035,281,7,89,0.024305555555555556,0.23607427055702918
project,ActPlane,ALL,tool discovery,195,0.0029439294664693983,195,0,0,0.0,0.0
project,ActPlane,ALL,wait/control,8108,0.12240707750837887,1218,467,6423,0.2771513353115727,0.7921805624074988
project,ActPlane,ALL,write,370,0.005585917449198345,364,5,1,0.013550135501355014,0.002702702702702703
project_vendor,ActPlane,claude,coordination,1,5.5574080248971876e-05,0,1,0,1.0,0.0
project_vendor,ActPlane,claude,edit,4981,0.27681449372012895,4800,181,0,0.03633808472194339,0.0
project_vendor,ActPlane,claude,fetch,769,0.04273646771145938,746,18,5,0.02356020942408377,0.006501950585175552
project_vendor,ActPlane,claude,multimodal,17,0.000944759364232522,17,0,0,0.0,0.0
project_vendor,ActPlane,claude,network/other,23,0.0012782038457263532,23,0,0,0.0,0.0
project_vendor,ActPlane,claude,other,59,0.0032788707346893407,59,0,0,0.0,0.0
project_vendor,ActPlane,claude,plan/goal,9,0.0005001667222407469,3,6,0,0.6666666666666666,0.0
project_vendor,ActPlane,claude,read,4243,0.23580082249638767,4212,30,1,0.007072135785007072,0.00023568230025925054
project_vendor,ActPlane,claude,search,1179,0.06552184061353784,1166,5,8,0.004269854824935952,0.006785411365564037
project_vendor,ActPlane,claude,shell,5828,0.3238857396910081,5600,228,0,0.03912148249828414,0.0
project_vendor,ActPlane,claude,skill,23,0.0012782038457263532,23,0,0,0.0,0.0
project_vendor,ActPlane,claude,task,297,0.016505501833944648,281,7,9,0.024305555555555556,0.030303030303030304
project_vendor,ActPlane,claude,tool discovery,195,0.010836945648549517,195,0,0,0.0,0.0
project_vendor,ActPlane,claude,write,370,0.020562409692119595,364,5,1,0.013550135501355014,0.002702702702702703
project_vendor,ActPlane,codex,coordination,290,0.00601111018986817,0,5,285,1.0,0.9827586206896551
project_vendor,ActPlane,codex,edit,3790,0.0785589917917254,0,10,3780,1.0,0.9973614775725593
project_vendor,ActPlane,codex,multimodal,50,0.0010363983085979603,0,2,48,1.0,0.96
project_vendor,ActPlane,codex,other,8,0.00016582372937567366,0,5,3,1.0,0.375
project_vendor,ActPlane,codex,plan/goal,752,0.015587430561313323,0,0,752,,1.0
project_vendor,ActPlane,codex,shell,35166,0.7289196584031175,32598,1118,1450,0.033159330881480605,0.04123300915657169
project_vendor,ActPlane,codex,task,80,0.0016582372937567365,0,0,80,,1.0
project_vendor,ActPlane,codex,wait/control,8108,0.16806234972224526,1218,467,6423,0.2771513353115727,0.7921805624074988
project,academic-writing-skills,ALL,edit,391,0.41244725738396626,371,19,1,0.04871794871794872,0.0025575447570332483
project,academic-writing-skills,ALL,fetch,2,0.002109704641350211,2,0,0,0.0,0.0
project,academic-writing-skills,ALL,other,4,0.004219409282700422,3,1,0,0.25,0.0
project,academic-writing-skills,ALL,read,218,0.229957805907173,213,1,4,0.004672897196261682,0.01834862385321101
project,academic-writing-skills,ALL,search,5,0.005274261603375527,5,0,0,0.0,0.0
project,academic-writing-skills,ALL,shell,300,0.31645569620253167,277,21,2,0.07046979865771812,0.006666666666666667
project,academic-writing-skills,ALL,skill,1,0.0010548523206751054,1,0,0,0.0,0.0
project,academic-writing-skills,ALL,task,8,0.008438818565400843,8,0,0,0.0,0.0
project,academic-writing-skills,ALL,tool discovery,3,0.0031645569620253164,3,0,0,0.0,0.0
project,academic-writing-skills,ALL,write,16,0.016877637130801686,15,1,0,0.0625,0.0
project_vendor,academic-writing-skills,claude,edit,391,0.41244725738396626,371,19,1,0.04871794871794872,0.0025575447570332483
project_vendor,academic-writing-skills,claude,fetch,2,0.002109704641350211,2,0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,other,4,0.004219409282700422,3,1,0,0.25,0.0
project_vendor,academic-writing-skills,claude,read,218,0.229957805907173,213,1,4,0.004672897196261682,0.01834862385321101
project_vendor,academic-writing-skills,claude,search,5,0.005274261603375527,5,0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,shell,300,0.31645569620253167,277,21,2,0.07046979865771812,0.006666666666666667
project_vendor,academic-writing-skills,claude,skill,1,0.0010548523206751054,1,0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,task,8,0.008438818565400843,8,0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,tool discovery,3,0.0031645569620253164,3,0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,write,16,0.016877637130801686,15,1,0,0.0625,0.0
project,agentsight,ALL,coordination,6009,0.061576455639128565,1,88,5920,0.9887640449438202,0.9851888833416542
project,agentsight,ALL,edit,7094,0.07269485377000799,1812,105,5177,0.054773082942097026,0.729771638003947
project,agentsight,ALL,fetch,168,0.001721558420265202,147,17,4,0.10365853658536585,0.023809523809523808
project,agentsight,ALL,multimodal,50,0.0005123685774598816,14,1,35,0.06666666666666667,0.7
project,agentsight,ALL,other,23,0.0002356895456315455,4,13,6,0.7647058823529411,0.2608695652173913
project,agentsight,ALL,plan/goal,772,0.007910970835980571,6,0,766,0.0,0.9922279792746114
project,agentsight,ALL,read,3287,0.03368311028221261,3240,45,2,0.0136986301369863,0.000608457560085184
project,agentsight,ALL,search,324,0.0033201483819400323,323,0,1,0.0,0.0030864197530864196
project,agentsight,ALL,shell,73834,0.7566044309634579,68002,2144,3688,0.030564821942805007,0.04994988758566514
project,agentsight,ALL,skill,31,0.00031766851802512655,30,1,0,0.03225806451612903,0.0
project,agentsight,ALL,task,1043,0.01068800852581313,338,0,705,0.0,0.675934803451582
project,agentsight,ALL,tool discovery,44,0.0004508843481646958,44,0,0,0.0,0.0
project,agentsight,ALL,wait/control,4766,0.048838972803475905,3503,158,1105,0.0431576072111445,0.23185060847671002
project,agentsight,ALL,write,141,0.001444879388436866,137,4,0,0.028368794326241134,0.0
project_vendor,agentsight,claude,coordination,1,7.984031936127745e-05,1,0,0,0.0,0.0
project_vendor,agentsight,claude,edit,1911,0.1525748502994012,1812,99,0,0.05180533751962323,0.0
project_vendor,agentsight,claude,fetch,163,0.013013972055888223,147,16,0,0.09815950920245399,0.0
project_vendor,agentsight,claude,multimodal,15,0.0011976047904191617,14,1,0,0.06666666666666667,0.0
project_vendor,agentsight,claude,other,4,0.0003193612774451098,3,1,0,0.25,0.0
project_vendor,agentsight,claude,plan/goal,6,0.00047904191616766467,6,0,0,0.0,0.0
project_vendor,agentsight,claude,read,3277,0.2616367265469062,3230,45,2,0.013740458015267175,0.0006103143118706134
project_vendor,agentsight,claude,search,310,0.02475049900199601,309,0,1,0.0,0.0032258064516129032
project_vendor,agentsight,claude,shell,6281,0.5014770459081836,6100,181,0,0.02881706734596402,0.0
project_vendor,agentsight,claude,skill,31,0.0024750499001996006,30,1,0,0.03225806451612903,0.0
project_vendor,agentsight,claude,task,339,0.027065868263473052,338,0,1,0.0,0.0029498525073746312
project_vendor,agentsight,claude,tool discovery,44,0.0035129740518962077,44,0,0,0.0,0.0
project_vendor,agentsight,claude,wait/control,2,0.0001596806387225549,2,0,0,0.0,0.0
project_vendor,agentsight,claude,write,141,0.01125748502994012,137,4,0,0.028368794326241134,0.0
project_vendor,agentsight,codex,coordination,6008,0.07065409130465461,0,88,5920,1.0,0.9853528628495339
project_vendor,agentsight,codex,edit,5183,0.06095208975233436,0,6,5177,1.0,0.9988423692841983
project_vendor,agentsight,codex,fetch,5,5.8800009408001504e-05,0,1,4,1.0,0.8
project_vendor,agentsight,codex,multimodal,35,0.00041160006585601056,0,0,35,,1.0
project_vendor,agentsight,codex,other,18,0.00021168003386880542,0,12,6,1.0,0.3333333333333333
project_vendor,agentsight,codex,plan/goal,766,0.009008161441305831,0,0,766,,1.0
project_vendor,agentsight,codex,shell,67551,0.7943998871039819,61902,1961,3688,0.030706355792869112,0.05459578688694468
project_vendor,agentsight,codex,task,704,0.008279041324646613,0,0,704,,1.0
project_vendor,agentsight,codex,wait/control,4764,0.05602464896394383,3501,158,1105,0.04318119704837387,0.23194794290512175
project_vendor,agentsight,gemini,other,1,0.037037037037037035,1,0,0,0.0,0.0
project_vendor,agentsight,gemini,read,10,0.37037037037037035,10,0,0,0.0,0.0
project_vendor,agentsight,gemini,search,14,0.5185185185185185,14,0,0,0.0,0.0
project_vendor,agentsight,gemini,shell,2,0.07407407407407407,0,2,0,1.0,0.0
project,agentskill-observability-paper,ALL,coordination,2,0.0020181634712411706,0,2,0,1.0,0.0
project,agentskill-observability-paper,ALL,edit,264,0.26639757820383453,236,28,0,0.10606060606060606,0.0
project,agentskill-observability-paper,ALL,fetch,10,0.010090817356205853,10,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,multimodal,2,0.0020181634712411706,2,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,other,2,0.0020181634712411706,2,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,read,350,0.35317860746720486,348,2,0,0.005714285714285714,0.0
project,agentskill-observability-paper,ALL,search,48,0.04843592330978809,48,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,shell,242,0.24419778002018164,235,7,0,0.028925619834710745,0.0
project,agentskill-observability-paper,ALL,skill,13,0.013118062563067608,13,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,task,30,0.030272452068617558,26,4,0,0.13333333333333333,0.0
project,agentskill-observability-paper,ALL,tool discovery,6,0.006054490413723511,6,0,0,0.0,0.0
project,agentskill-observability-paper,ALL,write,22,0.022199798183652877,22,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,coordination,2,0.0020181634712411706,0,2,0,1.0,0.0
project_vendor,agentskill-observability-paper,claude,edit,264,0.26639757820383453,236,28,0,0.10606060606060606,0.0
project_vendor,agentskill-observability-paper,claude,fetch,10,0.010090817356205853,10,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,multimodal,2,0.0020181634712411706,2,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,other,2,0.0020181634712411706,2,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,read,350,0.35317860746720486,348,2,0,0.005714285714285714,0.0
project_vendor,agentskill-observability-paper,claude,search,48,0.04843592330978809,48,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,shell,242,0.24419778002018164,235,7,0,0.028925619834710745,0.0
project_vendor,agentskill-observability-paper,claude,skill,13,0.013118062563067608,13,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,task,30,0.030272452068617558,26,4,0,0.13333333333333333,0.0
project_vendor,agentskill-observability-paper,claude,tool discovery,6,0.006054490413723511,6,0,0,0.0,0.0
project_vendor,agentskill-observability-paper,claude,write,22,0.022199798183652877,22,0,0,0.0,0.0
project,bpf-developer-tutorial,ALL,coordination,12,0.007211538461538462,0,0,12,,1.0
project,bpf-developer-tutorial,ALL,edit,248,0.14903846153846154,218,12,18,0.05217391304347826,0.07258064516129033
project,bpf-developer-tutorial,ALL,other,2,0.001201923076923077,2,0,0,0.0,0.0
project,bpf-developer-tutorial,ALL,plan/goal,4,0.002403846153846154,0,0,4,,1.0
project,bpf-developer-tutorial,ALL,read,407,0.24459134615384615,388,19,0,0.04668304668304668,0.0
project,bpf-developer-tutorial,ALL,search,5,0.0030048076923076925,5,0,0,0.0,0.0
project,bpf-developer-tutorial,ALL,shell,855,0.5138221153846154,761,45,49,0.05583126550868486,0.05730994152046784
project,bpf-developer-tutorial,ALL,skill,3,0.0018028846153846155,3,0,0,0.0,0.0
project,bpf-developer-tutorial,ALL,task,14,0.008413461538461538,12,0,2,0.0,0.14285714285714285
project,bpf-developer-tutorial,ALL,tool discovery,6,0.003605769230769231,6,0,0,0.0,0.0
project,bpf-developer-tutorial,ALL,wait/control,54,0.03245192307692308,47,3,4,0.06,0.07407407407407407
project,bpf-developer-tutorial,ALL,write,54,0.03245192307692308,51,3,0,0.05555555555555555,0.0
project_vendor,bpf-developer-tutorial,claude,edit,230,0.21863117870722434,218,12,0,0.05217391304347826,0.0
project_vendor,bpf-developer-tutorial,claude,read,396,0.376425855513308,377,19,0,0.047979797979797977,0.0
project_vendor,bpf-developer-tutorial,claude,search,5,0.004752851711026616,5,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,shell,349,0.33174904942965777,333,16,0,0.045845272206303724,0.0
project_vendor,bpf-developer-tutorial,claude,skill,3,0.0028517110266159697,3,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,task,12,0.011406844106463879,12,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,tool discovery,6,0.005703422053231939,6,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,claude,wait/control,1,0.0009505703422053232,0,1,0,1.0,0.0
project_vendor,bpf-developer-tutorial,claude,write,50,0.04752851711026616,47,3,0,0.06,0.0
project_vendor,bpf-developer-tutorial,codex,coordination,12,0.020168067226890758,0,0,12,,1.0
project_vendor,bpf-developer-tutorial,codex,edit,18,0.030252100840336135,0,0,18,,1.0
project_vendor,bpf-developer-tutorial,codex,plan/goal,4,0.0067226890756302525,0,0,4,,1.0
project_vendor,bpf-developer-tutorial,codex,shell,506,0.8504201680672269,428,29,49,0.06345733041575492,0.09683794466403162
project_vendor,bpf-developer-tutorial,codex,task,2,0.0033613445378151263,0,0,2,,1.0
project_vendor,bpf-developer-tutorial,codex,wait/control,53,0.08907563025210084,47,2,4,0.04081632653061224,0.07547169811320754
project_vendor,bpf-developer-tutorial,gemini,other,2,0.11764705882352941,2,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,gemini,read,11,0.6470588235294118,11,0,0,0.0,0.0
project_vendor,bpf-developer-tutorial,gemini,write,4,0.23529411764705882,4,0,0,0.0,0.0
project,eunomia.dev,ALL,coordination,224,0.01614298068607668,11,3,210,0.21428571428571427,0.9375
project,eunomia.dev,ALL,edit,1032,0.07437301816085327,560,11,461,0.01926444833625219,0.44670542635658916
project,eunomia.dev,ALL,fetch,316,0.022773133467858173,305,7,4,0.022435897435897436,0.012658227848101266
project,eunomia.dev,ALL,multimodal,29,0.0020899394638224274,1,0,28,0.0,0.9655172413793104
project,eunomia.dev,ALL,other,10,0.0007206687806284232,2,4,4,0.6666666666666666,0.4
project,eunomia.dev,ALL,plan/goal,28,0.002017872585759585,0,0,28,,1.0
project,eunomia.dev,ALL,read,496,0.03574517151916979,491,5,0,0.010080645161290322,0.0
project,eunomia.dev,ALL,search,396,0.02853848371288556,396,0,0,0.0,0.0
project,eunomia.dev,ALL,shell,8117,0.5849668492360911,6835,235,1047,0.03323903818953324,0.12898854256498707
project,eunomia.dev,ALL,skill,5,0.0003603343903142116,5,0,0,0.0,0.0
project,eunomia.dev,ALL,task,120,0.008648025367541078,89,3,28,0.03260869565217391,0.23333333333333334
project,eunomia.dev,ALL,tool discovery,59,0.004251945805707697,59,0,0,0.0,0.0
project,eunomia.dev,ALL,wait/control,2980,0.2147592966272701,953,83,1944,0.08011583011583012,0.6523489932885906
project,eunomia.dev,ALL,write,64,0.004612280196021909,62,2,0,0.03125,0.0
project_vendor,eunomia.dev,claude,coordination,11,0.0033172496984318458,11,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,edit,572,0.17249698431845598,560,11,1,0.01926444833625219,0.0017482517482517483
project_vendor,eunomia.dev,claude,fetch,309,0.09318455971049457,305,4,0,0.012944983818770227,0.0
project_vendor,eunomia.dev,claude,multimodal,1,0.00030156815440289503,1,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,other,2,0.0006031363088057901,2,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,read,496,0.14957780458383596,491,5,0,0.010080645161290322,0.0
project_vendor,eunomia.dev,claude,search,396,0.11942098914354644,396,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,shell,1303,0.39294330518697224,1249,54,0,0.04144282425172678,0.0
project_vendor,eunomia.dev,claude,skill,5,0.0015078407720144752,5,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,task,92,0.027744270205066344,89,3,0,0.03260869565217391,0.0
project_vendor,eunomia.dev,claude,tool discovery,59,0.01779252110977081,59,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,wait/control,6,0.0018094089264173703,6,0,0,0.0,0.0
project_vendor,eunomia.dev,claude,write,64,0.019300361881785282,62,2,0,0.03125,0.0
project_vendor,eunomia.dev,codex,coordination,213,0.020170454545454547,0,3,210,1.0,0.9859154929577465
project_vendor,eunomia.dev,codex,edit,460,0.043560606060606064,0,0,460,,1.0
project_vendor,eunomia.dev,codex,fetch,7,0.0006628787878787879,0,3,4,1.0,0.5714285714285714
project_vendor,eunomia.dev,codex,multimodal,28,0.0026515151515151517,0,0,28,,1.0
project_vendor,eunomia.dev,codex,other,8,0.0007575757575757576,0,4,4,1.0,0.5
project_vendor,eunomia.dev,codex,plan/goal,28,0.0026515151515151517,0,0,28,,1.0
project_vendor,eunomia.dev,codex,shell,6814,0.6452651515151515,5586,181,1047,0.031385469048031904,0.1536542412679777
project_vendor,eunomia.dev,codex,task,28,0.0026515151515151517,0,0,28,,1.0
project_vendor,eunomia.dev,codex,wait/control,2974,0.28162878787878787,947,83,1944,0.08058252427184466,0.6536650975117687
