stratum_type,project,vendor,command_name,calls,share_of_shell_calls
overall,ALL,ALL,ACTPLANE_REBUILD_BPF=1,207,0.0016647633140853453
overall,ALL,ALL,ACTPLANE_SKIP_BUILD=1,29,0.00023322771066896142
overall,ALL,ALL,AGENTSIGHT_AGENT_CANARY_BUILD=0,5,4.021167425326921e-05
overall,ALL,ALL,AGENTSIGHT_AGENT_CANARY_REAL_AGENT=1,2,1.6084669701307685e-05
overall,ALL,ALL,AGENTSIGHT_REAL_CLAUDE_SMOKE=1,18,0.00014476202731176916
overall,ALL,ALL,AGENTSIGHT_REAL_CLAUDE_TOOL_SMOKE=1,13,0.00010455035305849995
overall,ALL,ALL,AGENTSIGHT_REAL_CLI_SMOKE=1,6,4.825400910392305e-05
overall,ALL,ALL,AGENTSIGHT_REAL_GEMINI_SMOKE=1,14,0.00011259268790915379
overall,ALL,ALL,AGENTSIGHT_REAL_OPENCLAW_SMOKE=1,2,1.6084669701307685e-05
overall,ALL,ALL,AGENTSIGHT_SYNC_VENDOR=1,17,0.00013671969246111532
overall,ALL,ALL,ActPlane --json body --jq .body);,1,8.042334850653843e-06
overall,ALL,ALL,"ActPlane,yield_time_ms:10000}",1,8.042334850653843e-06
overall,ALL,ALL,ActPlane;,1,8.042334850653843e-06
overall,ALL,ALL,BASE=$(git,13,0.00010455035305849995
overall,ALL,ALL,BASE=36ca9c6a60a52cbcf5d5b91af5996224d8a81395,1,8.042334850653843e-06
overall,ALL,ALL,CARGO_LOG=cargo::core::workspace=trace,1,8.042334850653843e-06
overall,ALL,ALL,CID=$(docker,53,0.0004262437470846536
overall,ALL,ALL,CLAUDE_BIN=$(readlink,1,8.042334850653843e-06
overall,ALL,ALL,CLAUDE_PID=67363;,1,8.042334850653843e-06
overall,ALL,ALL,CUDA_VISIBLE_DEVICES=0,1,8.042334850653843e-06
overall,ALL,ALL,Cargo.toml --release --,2,1.6084669701307685e-05
overall,ALL,ALL,DB=$(ls,1,8.042334850653843e-06
overall,ALL,ALL,DEEPSEEK_MODEL=deepseek-v4-flash,1,8.042334850653843e-06
overall,ALL,ALL,DEEPSEEK_MODEL=deepseek-v4-pro,1,8.042334850653843e-06
overall,ALL,ALL,DRY_RUN=true,5,4.021167425326921e-05
overall,ALL,ALL,GIT_EDITOR=cat,1,8.042334850653843e-06
overall,ALL,ALL,GIT_EDITOR=true,2,1.6084669701307685e-05
overall,ALL,ALL,GIT_TERMINAL_PROMPT=0,2,1.6084669701307685e-05
overall,ALL,ALL,GIT_TRACE=1,5,4.021167425326921e-05
overall,ALL,ALL,GLM_API_KEY=${GLM_API_KEY:-e312f55a7ed446829833058634846d06.RnnbxPW6Ei2f0nVP},1,8.042334850653843e-06
overall,ALL,ALL,GLM_API_KEY=dummy,1,8.042334850653843e-06
overall,ALL,ALL,GLM_API_KEY=e312f55a7ed446829833058634846d06.RnnbxPW6Ei2f0nVP,37,0.00029756638947419213
overall,ALL,ALL,HOME=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,HOME=$HOME,70,0.0005629634395457689
overall,ALL,ALL,HOST_USER_SITE=$(python3,2,1.6084669701307685e-05
overall,ALL,ALL,INT,5,4.021167425326921e-05
overall,ALL,ALL,LATEST_CODEX=$(find,2,1.6084669701307685e-05
overall,ALL,ALL,LC_ALL=C,10,8.042334850653842e-05
overall,ALL,ALL,LLAMA_ARG_DEVICE=0,1,8.042334850653843e-06
overall,ALL,ALL,NEXT_TELEMETRY_DISABLED=1,6,4.825400910392305e-05
overall,ALL,ALL,NODE=$(command,2,1.6084669701307685e-05
overall,ALL,ALL,NODE_BIN=$(command,1,8.042334850653843e-06
overall,ALL,ALL,NODE_ENV=development,4,3.216933940261537e-05
overall,ALL,ALL,OLD=$(ss,8,6.433867880523074e-05
overall,ALL,ALL,OPENAI_API_KEY=dummy,16,0.00012867735761046148
overall,ALL,ALL,ORG=eunomia-bpf,4,3.216933940261537e-05
overall,ALL,ALL,OctoBench -g '*.py' | head -n 60:},1,8.042334850653843e-06
overall,ALL,ALL,OpenAgentSafety,19,0.000152804362162423
overall,ALL,ALL,P=$(pgrep,1,8.042334850653843e-06
overall,ALL,ALL,PATH=$PATH,10,8.042334850653842e-05
overall,ALL,ALL,PORT=3001,3,2.4127004551961524e-05
overall,ALL,ALL,PORT=3002,3,2.4127004551961524e-05
overall,ALL,ALL,PORT=4173,1,8.042334850653843e-06
overall,ALL,ALL,PORT=46102,1,8.042334850653843e-06
overall,ALL,ALL,PR_NODE=$(gh,3,2.4127004551961524e-05
overall,ALL,ALL,PUBLISH_COUNT=1,1,8.042334850653843e-06
overall,ALL,ALL,PYTHONDONTWRITEBYTECODE=1,80,0.0006433867880523074
overall,ALL,ALL,PYTHONPATH=agentflame,31,0.0002493123803702691
overall,ALL,ALL,PYTHONPATH=script,47,0.0003779897379807306
overall,ALL,ALL,PYTHONPATH=src,2,1.6084669701307685e-05
overall,ALL,ALL,PYTHONUNBUFFERED=1,32,0.00025735471522092296
overall,ALL,ALL,Qwen.Qwen3.6-27B.f16.gguf.Q4_K_M.gguf,1,8.042334850653843e-06
overall,ALL,ALL,R160_CACHED_SECONDS=%e,1,8.042334850653843e-06
overall,ALL,ALL,R160_CLEAN_SECONDS=%e,1,8.042334850653843e-06
overall,ALL,ALL,R160_FIXED_CACHED_SECONDS=%e,1,8.042334850653843e-06
overall,ALL,ALL,R160_FIXED_CLEAN_SECONDS=%e,1,8.042334850653843e-06
overall,ALL,ALL,RUN=$(find,1,8.042334850653843e-06
overall,ALL,ALL,RUN_ID=$(gh,3,2.4127004551961524e-05
overall,ALL,ALL,RUSTFLAGS=-D warnings,3,2.4127004551961524e-05
overall,ALL,ALL,RUSTFLAGS=-W dead-code -W unused-imports,2,1.6084669701307685e-05
overall,ALL,ALL,RUSTFLAGS=-W dead_code,2,1.6084669701307685e-05
overall,ALL,ALL,RUSTFLAGS=-W unused,1,8.042334850653843e-06
overall,ALL,ALL,RUST_BACKTRACE=1,2,1.6084669701307685e-05
overall,ALL,ALL,SESSION_ARGS=(,3,2.4127004551961524e-05
overall,ALL,ALL,SYSDIR=$(ls,1,8.042334850653843e-06
overall,ALL,ALL,T=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,TMP=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,TMPDIR_REAL=$(cat,12,9.65080182078461e-05
overall,ALL,ALL,TMP_HOME=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,TS=$(date,1,8.042334850653843e-06
overall,ALL,ALL,Vancouver,1,8.042334850653843e-06
overall,ALL,ALL,a=$(find,1,8.042334850653843e-06
overall,ALL,ALL,actionlint,4,3.216933940261537e-05
overall,ALL,ALL,actplane,229,0.0018416946807997298
overall,ALL,ALL,actplane-5.10-report.fDuC1z;,1,8.042334850653843e-06
overall,ALL,ALL,actplane-benchmark-aws_lazy_validator_001-20260603T184109Z;,3,2.4127004551961524e-05
overall,ALL,ALL,actplane-codex-home,1,8.042334850653843e-06
overall,ALL,ALL,actplane-codex-home-home,2,1.6084669701307685e-05
overall,ALL,ALL,actplane-cow-smoke-$$,1,8.042334850653843e-06
overall,ALL,ALL,actplane-docker-api-smoke,3,2.4127004551961524e-05
overall,ALL,ALL,actplane-dumpcfg,1,8.042334850653843e-06
overall,ALL,ALL,actplane-e3e4.yaml;,4,3.216933940261537e-05
overall,ALL,ALL,actplane-f0c9225df69778f2,4,3.216933940261537e-05
overall,ALL,ALL,actplane-glibc231,17,0.00013671969246111532
overall,ALL,ALL,actplane-install-test-$(date,1,8.042334850653843e-06
overall,ALL,ALL,actplane-isolated-20260603T184102Z;,2,1.6084669701307685e-05
overall,ALL,ALL,actplane-master.cYlBeq;,3,2.4127004551961524e-05
overall,ALL,ALL,actplane-min-$(date,1,8.042334850653843e-06
overall,ALL,ALL,actplane-minbash-$(date,1,8.042334850653843e-06
overall,ALL,ALL,actplane-minbash2-$(date,1,8.042334850653843e-06
overall,ALL,ALL,actplane-papertext;,1,8.042334850653843e-06
overall,ALL,ALL,actplane;,2,1.6084669701307685e-05
overall,ALL,ALL,added=$(git,1,8.042334850653843e-06
overall,ALL,ALL,agent-a236e24052c2442e3;,17,0.00013671969246111532
overall,ALL,ALL,agent-workloads,14,0.00011259268790915379
overall,ALL,ALL,agentflame,3,2.4127004551961524e-05
overall,ALL,ALL,agentpprof,154,0.0012385195670006916
overall,ALL,ALL,agentpprof-c3ba517abd285254,3,2.4127004551961524e-05
overall,ALL,ALL,agentpprof-candidate-scan,1,8.042334850653843e-06
overall,ALL,ALL,agentpprof-workspace-scan,1,8.042334850653843e-06
overall,ALL,ALL,agentprof,3,2.4127004551961524e-05
overall,ALL,ALL,agentsight,407,0.0032732302842161136
overall,ALL,ALL,agentsight from the current AgentSight source docs.nn## Validationnn1. make -n sync-external-docsn2. npm run generate:content-artifacts from appn3. git diff --checknn## NotesnnAgentSight repo should trigger trigger-document-sync through repository_dispatch. The eunomia.dev side now always performs a full external docs sync when that event arrives.,1,8.042334850653843e-06
overall,ALL,ALL,"agentsight,yield_time_ms:1000}",2,1.6084669701307685e-05
overall,ALL,ALL,agentsight-agent-session-package-fix,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-agentpprof-review-target,2,1.6084669701307685e-05
overall,ALL,ALL,agentsight-claude-tool-debug-$(date,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-codex-raw.$RANDOM,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-gemini-debug-1779851246,2,1.6084669701307685e-05
overall,ALL,ALL,agentsight-home.2uKPzH,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-k3s.yaml,15,0.00012063502275980763
overall,ALL,ALL,agentsight-latest-smoke,7,5.6296343954576895e-05
overall,ALL,ALL,agentsight-raw-ssl-http.log,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-research-semantic-flamegraph,23,0.00018497370156503836
overall,ALL,ALL,agentsight-research-semantic-flamegraph;,18,0.00014476202731176916
overall,ALL,ALL,agentsight-review-44f7087af,2,1.6084669701307685e-05
overall,ALL,ALL,agentsight-review-44f7087af-rust197,1,8.042334850653843e-06
overall,ALL,ALL,agentsight-review-target,5,4.021167425326921e-05
overall,ALL,ALL,agentsight-userflow,25,0.00020105837126634603
overall,ALL,ALL,agsight-review.7gC8P1,1,8.042334850653843e-06
overall,ALL,ALL,aider,1,8.042334850653843e-06
overall,ALL,ALL,airscan-discover,1,8.042334850653843e-06
overall,ALL,ALL,an_test=$(git,1,8.042334850653843e-06
overall,ALL,ALL,analysis,3,2.4127004551961524e-05
overall,ALL,ALL,analyze_file(),1,8.042334850653843e-06
overall,ALL,ALL,analyze_file_robust(),1,8.042334850653843e-06
overall,ALL,ALL,ann=$(find,1,8.042334850653843e-06
overall,ALL,ALL,"ap-secret.env""nrule file-source:n  notify exec ""true"" if SECRETn  because ""file suffix source"";",4,3.216933940261537e-05
overall,ALL,ALL,ape-min-strace;,1,8.042334850653843e-06
overall,ALL,ALL,app,3,2.4127004551961524e-05
overall,ALL,ALL,apt-cache,5,4.021167425326921e-05
overall,ALL,ALL,arch=$(nvcc,1,8.042334850653843e-06
overall,ALL,ALL,archive=$(find,1,8.042334850653843e-06
overall,ALL,ALL,as-review-home2,1,8.042334850653843e-06
overall,ALL,ALL,aspell,4,3.216933940261537e-05
overall,ALL,ALL,automation_schema_dir=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,avahi-browse,3,2.4127004551961524e-05
overall,ALL,ALL,await,18,0.00014476202731176916
overall,ALL,ALL,awk,194,0.0015602129610268454
overall,ALL,ALL,b=$(find,20,0.00016084669701307684
overall,ALL,ALL,b=$(git,1,8.042334850653843e-06
overall,ALL,ALL,background-related-work.md,1,8.042334850653843e-06
overall,ALL,ALL,base=$(git,5,4.021167425326921e-05
overall,ALL,ALL,base=4f9106a8dd91edd54815f5dccc73c2c54fdbe071,1,8.042334850653843e-06
overall,ALL,ALL,base=be8c0d3c0e782bf38818065beaa7ae08ad6d92b2,1,8.042334850653843e-06
overall,ALL,ALL,base=docs;,1,8.042334850653843e-06
overall,ALL,ALL,"base={""messages"":[{""role"":""user"",""content"":""probe""}],""reasoning_format"":""none"",""chat_template_kwargs"":{""enable_thinking"":false}};",1,8.042334850653843e-06
overall,ALL,ALL,base_ref=$(git,4,3.216933940261537e-05
overall,ALL,ALL,bash,163,0.0013109005806565762
overall,ALL,ALL,bc,1,8.042334850653843e-06
overall,ALL,ALL,before=$(sha256sum,1,8.042334850653843e-06
overall,ALL,ALL,before=missing,3,2.4127004551961524e-05
overall,ALL,ALL,bfcl.jsonl,1,8.042334850653843e-06
overall,ALL,ALL,bibtex,13,0.00010455035305849995
overall,ALL,ALL,bin:$PATH,12,9.65080182078461e-05
overall,ALL,ALL,black,2,1.6084669701307685e-05
overall,ALL,ALL,body=$(cat,6,4.825400910392305e-05
overall,ALL,ALL,body=$(gh,1,8.042334850653843e-06
overall,ALL,ALL,body=$(gh pr view 24 --json body --jq .body);,6,4.825400910392305e-05
overall,ALL,ALL,body=$(mktemp);,3,2.4127004551961524e-05
overall,ALL,ALL,body=$(printf,2,1.6084669701307685e-05
overall,ALL,ALL,body_file=$(mktemp),2,1.6084669701307685e-05
overall,ALL,ALL,body_file=$(mktemp);,1,8.042334850653843e-06
overall,ALL,ALL,bpftime,1,8.042334850653843e-06
overall,ALL,ALL,bpftime_tmp=$(mktemp,1,8.042334850653843e-06
overall,ALL,ALL,bpftool,45,0.0003619050682794229
overall,ALL,ALL,bpftool;,2,1.6084669701307685e-05
overall,ALL,ALL,bpftrace,18,0.00014476202731176916
overall,ALL,ALL,branch=$(git,3,2.4127004551961524e-05
overall,ALL,ALL,browser_profile=$(mktemp,2,1.6084669701307685e-05
overall,ALL,ALL,bun,1,8.042334850653843e-06
overall,ALL,ALL,bwrap,8,6.433867880523074e-05
overall,ALL,ALL,candidates=(,1,8.042334850653843e-06
overall,ALL,ALL,capture-mechanics,1,8.042334850653843e-06
overall,ALL,ALL,cargo,4736,0.03808849785269659
overall,ALL,ALL,cat,989,0.00795386916729665
overall,ALL,ALL,cbefff615c15f4de61bd0ffd1ce97d2e.json;,2,1.6084669701307685e-05
overall,ALL,ALL,cc,10,8.042334850653842e-05
overall,ALL,ALL,cd,1478,0.011886570909266378
overall,ALL,ALL,cffconvert,1,8.042334850653843e-06
overall,ALL,ALL,child=019e95a2-d24b-7411-b993-b214c3f0f85f;,1,8.042334850653843e-06
overall,ALL,ALL,child=019f4e0c-ace6-7790-b9f6-9f934ac4b84c;,1,8.042334850653843e-06
overall,ALL,ALL,chmod,48,0.0003860320728313844
overall,ALL,ALL,chown,17,0.00013671969246111532
overall,ALL,ALL,chromium,21,0.00016888903186373068
overall,ALL,ALL,chromium-browser,2,1.6084669701307685e-05
overall,ALL,ALL,cid=$(docker,234,0.001881906355052999
overall,ALL,ALL,clang,4,3.216933940261537e-05
overall,ALL,ALL,clang-format,3,2.4127004551961524e-05
overall,ALL,ALL,claude,229,0.0018416946807997298
overall,ALL,ALL,claude-sonnet-4.5_4runs_mini.tar.gz,2,1.6084669701307685e-05
overall,ALL,ALL,claude.exe;,1,8.042334850653843e-06
overall,ALL,ALL,claude;,5,4.021167425326921e-05
overall,ALL,ALL,cloc,2,1.6084669701307685e-05
overall,ALL,ALL,cmake,6,4.825400910392305e-05
overall,ALL,ALL,cmp,31,0.0002493123803702691
overall,ALL,ALL,codex,131,0.0010535458654356532
overall,ALL,ALL,codex-01441-raw-ssl,2,1.6084669701307685e-05
overall,ALL,ALL,codex-01445-layer-live;,1,8.042334850653843e-06
overall,ALL,ALL,codex-01445-plainprobe,1,8.042334850653843e-06
overall,ALL,ALL,codex-01445-tokioprobe,1,8.042334850653843e-06
overall,ALL,ALL,codex-01445-tree2;,1,8.042334850653843e-06
overall,ALL,ALL,codex-510-pr-smoke,1,8.042334850653843e-06
overall,ALL,ALL,codex-linux-x64,1,8.042334850653843e-06
overall,ALL,ALL,codex-real;,2,1.6084669701307685e-05
overall,ALL,ALL,codex.db;,2,1.6084669701307685e-05
overall,ALL,ALL,codex.debug,5,4.021167425326921e-05
overall,ALL,ALL,codex.debuglink,1,8.042334850653843e-06
overall,ALL,ALL,codex;,1,8.042334850653843e-06
overall,ALL,ALL,codex_file=$(rg,1,8.042334850653843e-06
overall,ALL,ALL,coding-p2-perturbed,2,1.6084669701307685e-05
overall,ALL,ALL,column,2,1.6084669701307685e-05
overall,ALL,ALL,comm,6,4.825400910392305e-05
overall,ALL,ALL,comment=$(cat,1,8.042334850653843e-06
overall,ALL,ALL,commit=$(cat,8,6.433867880523074e-05
overall,ALL,ALL,compute-sanitizer,2,1.6084669701307685e-05
overall,ALL,ALL,conditions,1,8.042334850653843e-06
overall,ALL,ALL,const,14267,0.11473999131427837
overall,ALL,ALL,container=agentsight-openclaw-attach-$$;,1,8.042334850653843e-06
overall,ALL,ALL,container=agentsight-openclaw-docs-$$;,1,8.042334850653843e-06
overall,ALL,ALL,containerd.sock,2,1.6084669701307685e-05
overall,ALL,ALL,controlled,1,8.042334850653843e-06
overall,ALL,ALL,convert,29,0.00023322771066896142
overall,ALL,ALL,copilot,1,8.042334850653843e-06
overall,ALL,ALL,corrupt-empty-objects-backup-r235-$(date,1,8.042334850653843e-06
overall,ALL,ALL,cp,67,0.0005388364349938074
overall,ALL,ALL,crictl,1,8.042334850653843e-06
overall,ALL,ALL,crontab,1,8.042334850653843e-06
overall,ALL,ALL,csvcut,1,8.042334850653843e-06
overall,ALL,ALL,curl,759,0.006104132151646266
overall,ALL,ALL,current=$(rg,9,7.238101365588458e-05
overall,ALL,ALL,cursor-agent,1,8.042334850653843e-06
overall,ALL,ALL,cut,1,8.042334850653843e-06
overall,ALL,ALL,cutoff=2026-07-10T07:00:00Z,2,1.6084669701307685e-05
overall,ALL,ALL,cycle-0002-20260712T201943-0700;,1,8.042334850653843e-06
overall,ALL,ALL,d=$(dirname,2,1.6084669701307685e-05
overall,ALL,ALL,d=$(find,6,4.825400910392305e-05
overall,ALL,ALL,dash,1,8.042334850653843e-06
overall,ALL,ALL,data,3,2.4127004551961524e-05
overall,ALL,ALL,date,512,0.004117675443534767
overall,ALL,ALL,db=$(find,1,8.042334850653843e-06
overall,ALL,ALL,dd,1,8.042334850653843e-06
overall,ALL,ALL,declare,1,8.042334850653843e-06
overall,ALL,ALL,detex,5,4.021167425326921e-05
overall,ALL,ALL,df,87,0.0006996831320068843
overall,ALL,ALL,df98b0b9-b883-41ad-a193-92cd8fe62eca.jsonl,3,2.4127004551961524e-05
overall,ALL,ALL,diff,48,0.0003860320728313844
overall,ALL,ALL,dig,2,1.6084669701307685e-05
overall,ALL,ALL,dist,1,8.042334850653843e-06
overall,ALL,ALL,dist;,3,2.4127004551961524e-05
overall,ALL,ALL,dmesg,10,8.042334850653842e-05
overall,ALL,ALL,docker,1849,0.014870277138858953
overall,ALL,ALL,done=$(ls,7,5.6296343954576895e-05
overall,ALL,ALL,dpkg,2,1.6084669701307685e-05
overall,ALL,ALL,dsl=$(python3,2,1.6084669701307685e-05
overall,ALL,ALL,du,208,0.0016728056489359992
overall,ALL,ALL,duckdb,10,8.042334850653842e-05
overall,ALL,ALL,ebpf-ai-agent-policy-enforcement.md,3,2.4127004551961524e-05
overall,ALL,ALL,ebpf-ai-agent-policy-enforcement.zh.md,1,8.042334850653843e-06
overall,ALL,ALL,ebpf_ifc_engine-735f3d1c3b566153,167,0.0013430699200591915
overall,ALL,ALL,ebpf_ifc_engine-bd4b41a9e38cbef2,2,1.6084669701307685e-05
overall,ALL,ALL,echo,210,0.0016888903186373068
overall,ALL,ALL,elapsed=%e,3,2.4127004551961524e-05
overall,ALL,ALL,elapsed=%e maxrss=%M,1,8.042334850653843e-06
overall,ALL,ALL,elapsed=%e maxrss_kb=%M,2,1.6084669701307685e-05
overall,ALL,ALL,elapsed=%e rss_kb=%M,1,8.042334850653843e-06
overall,ALL,ALL,elapsed=%e user=%U sys=%S maxrss=%M,4,3.216933940261537e-05
overall,ALL,ALL,eu-unstrip;,1,8.042334850653843e-06
overall,ALL,ALL,eunomia.dev,21,0.00016888903186373068
overall,ALL,ALL,evaluate.py;,1,8.042334850653843e-06
overall,ALL,ALL,evaluation-claims-setup.zh-CN.md;,1,8.042334850653843e-06
overall,ALL,ALL,expect,1,8.042334850653843e-06
overall,ALL,ALL,experiment-001;,4,3.216933940261537e-05
overall,ALL,ALL,experiment-002,1,8.042334850653843e-06
overall,ALL,ALL,experiment-20260719T183118-0700;,6,4.825400910392305e-05
overall,ALL,ALL,experiment-20260719T220029-0700,1,8.042334850653843e-06
overall,ALL,ALL,experiment-rq1-association-20260715T035503-0700,10,8.042334850653842e-05
overall,ALL,ALL,export,1,8.042334850653843e-06
overall,ALL,ALL,external,9,7.238101365588458e-05
overall,ALL,ALL,extract_body(),2,1.6084669701307685e-05
overall,ALL,ALL,extract_calls(),1,8.042334850653843e-06
overall,ALL,ALL,extract_calls_seq(),1,8.042334850653843e-06
overall,ALL,ALL,f=$(find,23,0.00018497370156503836
overall,ALL,ALL,f=$(ls,2,1.6084669701307685e-05
overall,ALL,ALL,f=$(rg,3,2.4127004551961524e-05
overall,ALL,ALL,ffmpeg,2,1.6084669701307685e-05
overall,ALL,ALL,ffprobe,1,8.042334850653843e-06
overall,ALL,ALL,file,52,0.0004182014122339998
overall,ALL,ALL,files=$(git,1,8.042334850653843e-06
overall,ALL,ALL,files=(,1,8.042334850653843e-06
overall,ALL,ALL,files=();,3,2.4127004551961524e-05
overall,ALL,ALL,filterdiff,2,1.6084669701307685e-05
overall,ALL,ALL,final-review-fixes-real-agent,1,8.042334850653843e-06
overall,ALL,ALL,final-token-fd-real-agent,1,8.042334850653843e-06
overall,ALL,ALL,find,5190,0.04173971787489344
overall,ALL,ALL,findmnt,1,8.042334850653843e-06
overall,ALL,ALL,first=$(find,1,8.042334850653843e-06
overall,ALL,ALL,fold,1,8.042334850653843e-06
overall,ALL,ALL,for,1413,0.011363819143973879
overall,ALL,ALL,free,4,3.216933940261537e-05
overall,ALL,ALL,full;,5,4.021167425326921e-05
overall,ALL,ALL,function,6,4.825400910392305e-05
overall,ALL,ALL,fuser,1,8.042334850653843e-06
overall,ALL,ALL,ga=$(find,1,8.042334850653843e-06
overall,ALL,ALL,geckodriver,1,8.042334850653843e-06
overall,ALL,ALL,gemini,21,0.00016888903186373068
overall,ALL,ALL,gemini-cli-core;,2,1.6084669701307685e-05
