task,dataset,query_family,objective,metric,default_policy,best_policy,best_view,best_ranker,action_class,gain_over_default,default_is_best,best_is_visible_non_oracle,top5_positive,top5_work,packet_verdict,optimization_action,counterpoints
agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,operation_stack:query_aware,raw_action_stack:visible_risk,raw_action_stack,visible_risk,use_raw_action_mapping_counterpoint,0.2044,False,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,2.0,False,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_looping,agent-reward-bench,failure-looping,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,39.0,False,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,operation_stack:query_aware,fixed_session:width,fixed_session,width,drill_down_fixed_session,0.6021,False,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,operation_stack:query_aware,fixed_session:width,fixed_session,width,drill_down_fixed_session,0.6635,False,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_recall,budget30_recall,operation_stack:query_aware,fixed_session:width,fixed_session,width,drill_down_fixed_session,0.6188,False,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,fixed_session:width,fixed_session,width,drill_down_fixed_session,16.0,False,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_side_effect,agent-reward-bench,failure-side-effect,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,39.0,False,True,True,0.145405,bounded_30pct_packet,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,ranking_fidelity_ap,average_precision,operation_stack:query_aware,fixed_session:query_aware,fixed_session,query_aware,drill_down_fixed_session,0.0091,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,top5_localization_f1,top5_f1,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,0.0731,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,budget30_recall,budget30_recall,operation_stack:query_aware,operation_stack:width,operation_stack,width,retune_operation_stack_ranker,0.127,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,first_positive_work,work_to_first_positive,operation_stack:query_aware,fixed_session:visible_risk,fixed_session,visible_risk,drill_down_fixed_session,0.1271,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,dataset_native:visible_risk,dataset_native,visible_risk,use_dataset_native_hierarchy,61.0,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
osworld_group_start,osworld-human,human-boundary,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,172.0,False,True,True,0.40738,actionable_budget_exception,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""misleading_visible_feature"", ""default_operation_stack_not_best_top5_f1""]"
satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,operation_stack:query_aware,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.2723,False,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
satraj_unsafe,satraj-os-safety,safety,budget30_recall,budget30_recall,operation_stack:query_aware,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.1624,False,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
satraj_unsafe,satraj-os-safety,safety,first_positive_work,work_to_first_positive,operation_stack:query_aware,fixed_session:query_aware,fixed_session,query_aware,drill_down_fixed_session,0.0075,False,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
satraj_unsafe,satraj-os-safety,safety,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,37.0,False,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
satraj_unsafe,satraj-os-safety,safety,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,141.0,False,True,True,0.042007,bounded_30pct_packet,Use environment + phase + action stack fields; prioritize risky environments and write actions.,"[""fixed_session_lower_work_to_first_positive"", ""misleading_visible_feature""]"
