source,task,dataset,objective_or_metric,counterpoint,best_policy,operation_stack_query_aware_regret,action
R344 metric surface,all_tasks,mixed,flat_width:ndcg,counterpoint,flat_width,-0.45125,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,flat_width:top5_recall,counterpoint,flat_width,-0.812,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,flat_width:top5_f1,counterpoint,flat_width,-0.0886,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,flat_width:groups,counterpoint,flat_width,156.5,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,fixed_session_query_aware:average_precision,mixed,fixed_session_query_aware,-0.0002,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,fixed_session_query_aware:ndcg,mixed,fixed_session_query_aware,-0.00375,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,fixed_session_query_aware:top5_work,counterpoint,fixed_session_query_aware,0.01345,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,fixed_session_query_aware:work_to_first_positive,counterpoint,fixed_session_query_aware,0.00565,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,dataset_native_query_aware:ndcg,counterpoint,dataset_native_query_aware,-0.2189,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,dataset_native_query_aware:top5_recall,counterpoint,dataset_native_query_aware,-0.3474,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,dataset_native_query_aware:top5_f1,counterpoint,dataset_native_query_aware,-0.0415,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,dataset_native_query_aware:work_to_first_positive,mixed,dataset_native_query_aware,-0.0007,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,dataset_native_query_aware:groups,counterpoint,dataset_native_query_aware,150.0,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,raw_action_query_aware:top5_recall,counterpoint,raw_action_query_aware,-0.07665,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,raw_action_query_aware:top5_f1,counterpoint,raw_action_query_aware,-0.00895,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,raw_action_query_aware:groups,counterpoint,raw_action_query_aware,132.0,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,operation_stack_width:ndcg,counterpoint,operation_stack_width,-0.252,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,operation_stack_width:top5_recall,counterpoint,operation_stack_width,-0.26395,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
R344 metric surface,all_tasks,mixed,operation_stack_width:top5_f1,counterpoint,operation_stack_width,-0.0755,Treat this metric as a scope guardrail or secondary lens rather than a dominance claim.
