task,dataset,query_family,policy,target_recall,reached,min_work,groups_inspected,achieved_recall,precision_at_target,f1_at_target,selected_budget,optimization_action,useful_stack_fields,counterpoints
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,0.1,True,0.1985,18,0.2574,0.077,0.1185,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,0.25,True,0.1985,18,0.2574,0.077,0.1185,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,0.5,False,,,0.3066,0.0486,0.0839,,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,0.1,True,0.0999,12,0.1105,0.0805,0.0932,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,0.25,True,0.2996,17,0.3302,0.0802,0.1291,budget30,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,0.5,False,,,0.4993,0.0727,0.127,,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,0.1,True,0.0999,50,0.1132,0.0825,0.0955,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,0.25,True,0.3,141,0.3302,0.0801,0.129,budget30,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,0.5,True,0.5,291,0.5266,0.0767,0.1339,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,flat:width,0.1,True,1.0,1,1.0,0.0728,0.1357,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,flat:width,0.25,True,1.0,1,1.0,0.0728,0.1357,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,flat:width,0.5,True,1.0,1,1.0,0.0728,0.1357,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:query_aware,0.1,True,0.0999,31,0.1282,0.0934,0.1081,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:query_aware,0.25,True,0.2,36,0.266,0.0969,0.142,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:query_aware,0.5,True,0.5,160,0.5648,0.0823,0.1436,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:width,0.1,True,0.0999,2,0.1364,0.0994,0.115,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:width,0.25,True,0.2,4,0.2538,0.0924,0.1355,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,operation_stack:width,0.5,True,0.5,12,0.5975,0.087,0.1519,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:query_aware,0.1,True,0.0999,15,0.1023,0.0746,0.0863,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:query_aware,0.25,True,0.2965,21,0.2619,0.0643,0.1033,budget30,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:query_aware,0.5,False,,,0.3042,0.0541,0.0919,,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,0.1,True,0.1824,1,0.2639,1.0,0.4176,top1,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,0.25,True,0.1824,1,0.2639,1.0,0.4176,top1,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,0.5,True,0.4636,3,0.5238,0.7811,0.6271,top3,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,0.1,True,0.0988,4,0.1409,0.9861,0.2465,budget10,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,0.25,True,0.299,10,0.3611,0.8349,0.5042,budget30,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,0.5,True,0.4993,16,0.6429,0.8901,0.7465,budget50,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,flat:width,0.1,True,1.0,1,1.0,0.6914,0.8175,top1,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,flat:width,0.25,True,1.0,1,1.0,0.6914,0.8175,top1,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,flat:width,0.5,True,1.0,1,1.0,0.6914,0.8175,top1,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,0.1,True,0.0988,5,0.1429,1.0,0.25,budget10,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,0.25,True,0.1989,6,0.252,0.8759,0.3914,budget20,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,0.5,True,0.4993,7,0.6528,0.9038,0.7581,budget50,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,0.1,True,0.1989,3,0.119,0.4138,0.1849,budget20,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,0.25,True,0.299,4,0.3532,0.8165,0.4931,budget30,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,0.5,True,0.8134,10,0.8948,0.7605,0.8222,top10,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,0.1,True,0.1975,11,0.1845,0.6458,0.287,budget20,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,0.25,True,0.3813,13,0.3591,0.6511,0.4629,budget50,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,0.5,True,0.9342,10,0.9802,0.7254,0.8338,top10,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","analysis_task,dataset,benchmark,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,0.1,True,0.5364,1,1.0,0.5166,0.6813,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,0.25,True,0.5364,1,1.0,0.5166,0.6813,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,0.5,True,0.5364,1,1.0,0.5166,0.6813,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,0.1,True,0.3951,10,0.505,0.3542,0.4163,top10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,0.25,True,0.3951,10,0.505,0.3542,0.4163,top10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,0.5,True,0.3951,10,0.505,0.3542,0.4163,top10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,0.1,True,1.0,1,1.0,0.2771,0.4339,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,0.25,True,1.0,1,1.0,0.2771,0.4339,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,0.5,True,1.0,1,1.0,0.2771,0.4339,top1,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,0.1,True,0.0988,4,0.1139,0.3194,0.1679,budget10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,0.25,True,0.299,19,0.3812,0.3532,0.3667,budget30,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,0.5,True,0.4993,23,0.5743,0.3187,0.4099,budget50,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,0.1,True,0.0494,2,0.1485,0.8333,0.2521,budget5,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,0.25,True,0.1989,3,0.5941,0.8276,0.6916,budget20,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,0.5,True,0.1989,3,0.5941,0.8276,0.6916,budget20,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,0.1,True,0.0453,4,0.1188,0.7273,0.2043,budget5,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,0.25,True,0.0947,5,0.2673,0.7826,0.3985,budget10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,0.5,True,0.9588,10,0.9802,0.2833,0.4395,top10,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.,"analysis_task,dataset,benchmark,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,dataset_native:query_aware,0.1,True,0.1985,7,0.178,0.1709,0.1744,budget20,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,dataset_native:query_aware,0.25,True,0.2959,7,0.2618,0.1685,0.205,budget30,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,dataset_native:query_aware,0.5,True,1.0,10,1.0,0.1905,0.32,top10,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,fixed_session:query_aware,0.1,True,0.1,60,0.1505,0.2868,0.1974,budget10,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,fixed_session:query_aware,0.25,True,0.2,62,0.2552,0.2431,0.249,budget20,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,fixed_session:query_aware,0.5,True,0.4999,110,0.5092,0.194,0.281,budget50,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,flat:width,0.1,True,1.0,1,1.0,0.1905,0.32,top1,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,flat:width,0.25,True,1.0,1,1.0,0.1905,0.32,top1,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
osworld_group_start,osworld-human,human-boundary,flat:width,0.5,True,1.0,1,1.0,0.1905,0.32,top1,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.,"analysis_task,dataset,app,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; misleading_visible_feature; default_operation_stack_not_best_top5_f1
