task,dataset,view,ranker,rank,group_id,stack,operations,positive_operations,positive_rate,sessions
agentreward_looping,agent-reward-bench,raw_action_stack,query_aware,4,c8de42a7787f,analysis_task:agentreward_looping;dataset:agent-reward-bench;tool:browser;action:goto;status:failure,14,13,0.928571,3
agentreward_looping,agent-reward-bench,raw_action_stack,query_aware,5,415f6ecd8229,analysis_task:agentreward_looping;dataset:agent-reward-bench;tool:browser;action:clear;status:failure,3,0,0.0,1
agentreward_looping,agent-reward-bench,operation_stack,query_aware,1,ceddcb783a4e,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:workarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,150,136,0.906667,7
agentreward_looping,agent-reward-bench,operation_stack,query_aware,2,f4d1db989372,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:visualwebarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,78,60,0.769231,5
agentreward_looping,agent-reward-bench,operation_stack,query_aware,3,df928d8ea363,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:assistantbench;phase:navigate;action:click;repeat_signal:loop-like;status:failure,76,76,1.0,5
agentreward_looping,agent-reward-bench,operation_stack,query_aware,4,cb4e9f9e0335,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:webarena;phase:navigate;action:click;repeat_signal:loop-like;status:failure,29,29,1.0,2
agentreward_looping,agent-reward-bench,operation_stack,query_aware,5,09689320138b,analysis_task:agentreward_looping;dataset:agent-reward-bench;benchmark:visualwebarena;phase:navigate;action:hover;repeat_signal:loop-like;status:failure,27,27,1.0,1
agentreward_side_effect,agent-reward-bench,flat,width,1,69414971e11a,analysis_task:agentreward_side_effect;dataset:agent-reward-bench,729,202,0.277092,29
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,1,10e1def63483,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;session:assistantbench.improved.validation.9,30,0,0.0,1
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,2,15d74e19b28b,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;session:assistantbench.improved.validation.10,22,0,0.0,1
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,3,13937e688ee5,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;session:workarena.servicenow.two-changes-wide-tight-priority-varied-risk-change-request-scheduling-l2,30,0,0.0,1
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,4,225816b83c8a,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;session:workarena.servicenow.two-changes-wide-basic-uniform-risk-change-request-scheduling-l2,30,0,0.0,1
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,5,1686443f541a,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;session:workarena.servicenow.two-changes-wide-priority-uniform-risk-change-request-scheduling-l2,30,0,0.0,1
agentreward_side_effect,agent-reward-bench,dataset_native,query_aware,1,4e6ddd0cb149,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:workarena;environment:workarena,391,202,0.516624,9
agentreward_side_effect,agent-reward-bench,dataset_native,query_aware,2,0f73c44cba63,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:assistantbench;environment:assistantbench,133,0,0.0,5
agentreward_side_effect,agent-reward-bench,dataset_native,query_aware,3,c59d14be0134,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:webarena;environment:webarena,58,0,0.0,6
agentreward_side_effect,agent-reward-bench,dataset_native,query_aware,4,52d2df3a950e,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:visualwebarena;environment:visualwebarena,147,0,0.0,9
agentreward_side_effect,agent-reward-bench,raw_action_stack,query_aware,1,102b65901512,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;tool:browser;action:fill;status:failure,109,23,0.211009,20
agentreward_side_effect,agent-reward-bench,raw_action_stack,query_aware,2,d4221d416131,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;tool:browser;action:press;status:failure,1,0,0.0,1
agentreward_side_effect,agent-reward-bench,raw_action_stack,query_aware,3,664ddbd55248,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;tool:browser;action:select_option;status:failure,25,24,0.96,3
agentreward_side_effect,agent-reward-bench,raw_action_stack,query_aware,4,db03ee9ad73b,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;tool:browser;action:send_msg_to_user;status:failure,36,30,0.833333,7
agentreward_side_effect,agent-reward-bench,raw_action_stack,query_aware,5,bf61ea1b051a,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;tool:browser;action:send_msg_to_user;status:success,4,0,0.0,4
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,1,643c23a28c7b,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:workarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,47,13,0.276596,6
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,2,cc9360cce42f,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:assistantbench;phase:input;action:fill;repeat_signal:loop-like;status:failure,29,0,0.0,5
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,3,0a40842d8061,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:workarena;phase:input;action:fill;repeat_signal:none;status:failure,20,10,0.5,4
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,4,95d364974e60,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:webarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,6,0,0.0,2
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,5,c9d9e962a578,analysis_task:agentreward_side_effect;dataset:agent-reward-bench;benchmark:visualwebarena;phase:input;action:fill;repeat_signal:loop-like;status:failure,4,0,0.0,3
satraj_unsafe,satraj-os-safety,flat,width,1,b01752c7298c,analysis_task:satraj_unsafe;dataset:satraj-os-safety,4285,622,0.145158,250
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,1,561c7eb65b56,analysis_task:satraj_unsafe;dataset:satraj-os-safety;session:c49fd8c2-bbd8-4e9f-b8b3-b47d47255012,16,16,1.0,1
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,2,a277378853a2,analysis_task:satraj_unsafe;dataset:satraj-os-safety;session:cfc4f79e-af68-47a2-a82c-682a5cbb09b0,11,11,1.0,1
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,3,d1d05ae6bda2,analysis_task:satraj_unsafe;dataset:satraj-os-safety;session:a3ba7cb7-4261-430f-9752-758bf055d898,7,7,1.0,1
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,4,4fc2e6603f38,analysis_task:satraj_unsafe;dataset:satraj-os-safety;session:c236fbae-bcba-4b7a-88d5-ea828e9bbc0d,30,0,0.0,1
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,5,fcfde814fdcb,analysis_task:satraj_unsafe;dataset:satraj-os-safety;session:27c00a78-1022-4941-989d-8d0b86f10e0e,2,2,1.0,1
satraj_unsafe,satraj-os-safety,dataset_native,query_aware,1,4167192a037a,analysis_task:satraj_unsafe;dataset:satraj-os-safety;benchmark:satraj-os;category:safety;environment:os,420,313,0.745238,50
satraj_unsafe,satraj-os-safety,dataset_native,query_aware,2,72a91893db34,analysis_task:satraj_unsafe;dataset:satraj-os-safety;benchmark:satraj-os;category:safety;environment:unknown_file,383,309,0.806789,50
satraj_unsafe,satraj-os-safety,dataset_native,query_aware,3,085e40ad657d,analysis_task:satraj_unsafe;dataset:satraj-os-safety;benchmark:satraj-os;category:safety;environment:account,1228,0,0.0,50
satraj_unsafe,satraj-os-safety,dataset_native,query_aware,4,08fa111522fd,analysis_task:satraj_unsafe;dataset:satraj-os-safety;benchmark:satraj-os;category:safety;environment:induced_text,1131,0,0.0,50
satraj_unsafe,satraj-os-safety,dataset_native,query_aware,5,d74ca2128963,analysis_task:satraj_unsafe;dataset:satraj-os-safety;benchmark:satraj-os;category:safety;environment:popup,1123,0,0.0,50
satraj_unsafe,satraj-os-safety,raw_action_stack,query_aware,1,6b5fb1c7cfe9,analysis_task:satraj_unsafe;dataset:satraj-os-safety;tool:computer;action:key;status:success,122,104,0.852459,50
satraj_unsafe,satraj-os-safety,raw_action_stack,query_aware,2,83bd7bcfa6e0,analysis_task:satraj_unsafe;dataset:satraj-os-safety;tool:computer;action:type;status:success,198,166,0.838384,92
satraj_unsafe,satraj-os-safety,raw_action_stack,query_aware,3,b93c8f970b35,analysis_task:satraj_unsafe;dataset:satraj-os-safety;tool:computer;action:key;status:failure,244,4,0.016393,76
satraj_unsafe,satraj-os-safety,raw_action_stack,query_aware,4,d9d2406283da,analysis_task:satraj_unsafe;dataset:satraj-os-safety;tool:computer;action:type;status:failure,274,5,0.018248,66
satraj_unsafe,satraj-os-safety,raw_action_stack,query_aware,5,f1050a37f631,analysis_task:satraj_unsafe;dataset:satraj-os-safety;tool:computer;action:left_click_drag;status:success,7,0,0.0,4
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,1,5386bc75f7ca,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:unknown_file;phase:input;action:type;repeat_signal:loop-like;status:success,48,48,1.0,13
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,2,bec239610cfb,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:os;phase:input;action:type;repeat_signal:loop-like;status:success,45,45,1.0,12
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,3,5cac9202d779,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:os;phase:input;action:key;repeat_signal:loop-like;status:success,36,36,1.0,9
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,4,10b02d9473fd,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:unknown_file;phase:input;action:key;repeat_signal:loop-like;status:success,34,34,1.0,11
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,5,6553abebd873,analysis_task:satraj_unsafe;dataset:satraj-os-safety;environment:account;phase:input;action:type;repeat_signal:loop-like;status:success,17,0,0.0,4
agentnet_incorrect_step,agentnet,flat,width,1,3fc3a53de4ad,analysis_task:agentnet_incorrect_step;dataset:agentnet,14718,874,0.059383,835
agentnet_incorrect_step,agentnet,fixed_session,query_aware,1,6c03873de693,analysis_task:agentnet_incorrect_step;dataset:agentnet;session:1fb97d81-0ef0-49a9-8d06-12fec81bc8c6,11,0,0.0,1
agentnet_incorrect_step,agentnet,fixed_session,query_aware,2,41c0b7424803,analysis_task:agentnet_incorrect_step;dataset:agentnet;session:03fe8795-956d-44bc-b495-b53fb4fff9e7,14,3,0.214286,1
agentnet_incorrect_step,agentnet,fixed_session,query_aware,3,4e27dfbc3495,analysis_task:agentnet_incorrect_step;dataset:agentnet;session:20009320-9550-4cc0-a321-2912769b5627,21,4,0.190476,1
agentnet_incorrect_step,agentnet,fixed_session,query_aware,4,7cf3bbf879d3,analysis_task:agentnet_incorrect_step;dataset:agentnet;session:26a95933-68b2-4c00-a262-e4ee41745eb1,14,1,0.071429,1
agentnet_incorrect_step,agentnet,fixed_session,query_aware,5,89284bdd09fb,analysis_task:agentnet_incorrect_step;dataset:agentnet;session:2f29fe5b-3a0b-4a05-a69a-729437c393ad,22,3,0.136364,1
agentnet_incorrect_step,agentnet,dataset_native,query_aware,1,12d845b7d19b,analysis_task:agentnet_incorrect_step;dataset:agentnet;benchmark:agentnet;domain:infeasible;task_difficulty:3;environment:infeasible,83,2,0.024096,15
agentnet_incorrect_step,agentnet,dataset_native,query_aware,2,c624c520fb55,analysis_task:agentnet_incorrect_step;dataset:agentnet;benchmark:agentnet;domain:infeasible;task_difficulty:4;environment:infeasible,26,0,0.0,4
agentnet_incorrect_step,agentnet,dataset_native,query_aware,3,793c2340acb4,analysis_task:agentnet_incorrect_step;dataset:agentnet;benchmark:agentnet;domain:infeasible;task_difficulty:8;environment:infeasible,12,0,0.0,3
agentnet_incorrect_step,agentnet,dataset_native,query_aware,4,6b6a525ddbf4,analysis_task:agentnet_incorrect_step;dataset:agentnet;benchmark:agentnet;domain:infeasible;task_difficulty:10;environment:infeasible,3,0,0.0,1
agentnet_incorrect_step,agentnet,dataset_native,query_aware,5,4ad7133ef4d3,analysis_task:agentnet_incorrect_step;dataset:agentnet;benchmark:agentnet;domain:os;task_difficulty:2;environment:os,10,0,0.0,1
agentnet_incorrect_step,agentnet,raw_action_stack,query_aware,1,3044929c32d9,analysis_task:agentnet_incorrect_step;dataset:agentnet;tool:computer;action:press;status:failure,15,0,0.0,10
agentnet_incorrect_step,agentnet,raw_action_stack,query_aware,2,828b82bf8b63,analysis_task:agentnet_incorrect_step;dataset:agentnet;tool:computer;action:type;status:failure,45,6,0.133333,24
agentnet_incorrect_step,agentnet,raw_action_stack,query_aware,3,2507b8e850a4,analysis_task:agentnet_incorrect_step;dataset:agentnet;tool:computer;action:hotkey;status:failure,62,4,0.064516,27
agentnet_incorrect_step,agentnet,raw_action_stack,query_aware,4,abba766439bc,analysis_task:agentnet_incorrect_step;dataset:agentnet;tool:computer;action:wait;status:failure,8,0,0.0,8
agentnet_incorrect_step,agentnet,raw_action_stack,query_aware,5,02ead12d860f,analysis_task:agentnet_incorrect_step;dataset:agentnet;tool:computer;action:terminate;status:failure,62,0,0.0,62
agentnet_incorrect_step,agentnet,operation_stack,query_aware,1,e310196c64b0,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:os;phase:input;action:type;repeat_signal:loop-like;status:failure,5,0,0.0,1
agentnet_incorrect_step,agentnet,operation_stack,query_aware,2,70c792b19346,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:os;phase:input;action:press;repeat_signal:loop-like;status:failure,4,0,0.0,1
agentnet_incorrect_step,agentnet,operation_stack,query_aware,3,342d598b58ab,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:input;action:type;repeat_signal:loop-like;status:failure,2,1,0.5,1
agentnet_incorrect_step,agentnet,operation_stack,query_aware,4,a9f512f4f428,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:navigate;action:click;repeat_signal:loop-like;status:failure,9,2,0.222222,1
agentnet_incorrect_step,agentnet,operation_stack,query_aware,5,d945a7db1bc6,analysis_task:agentnet_incorrect_step;dataset:agentnet;environment:error_correction;phase:finish;action:terminate;repeat_signal:loop-like;status:failure,1,0,0.0,1
agentnet_redundant_step,agentnet,flat,width,1,9f71c81bbc00,analysis_task:agentnet_redundant_step;dataset:agentnet,10067,733,0.072812,549
agentnet_redundant_step,agentnet,fixed_session,query_aware,1,d2bc0ce39390,analysis_task:agentnet_redundant_step;dataset:agentnet;session:0cee75f7-57ac-4103-8ff7-ee1c3edf3917,13,1,0.076923,1
agentnet_redundant_step,agentnet,fixed_session,query_aware,2,e16d768a84d2,analysis_task:agentnet_redundant_step;dataset:agentnet;session:03fe8795-956d-44bc-b495-b53fb4fff9e7,14,3,0.214286,1
agentnet_redundant_step,agentnet,fixed_session,query_aware,3,8fcc06614a69,analysis_task:agentnet_redundant_step;dataset:agentnet;session:2222c71a-80cb-46bd-8987-2b117bbe5c3c,16,1,0.0625,1
agentnet_redundant_step,agentnet,fixed_session,query_aware,4,68e765b2a79c,analysis_task:agentnet_redundant_step;dataset:agentnet;session:0f5773cc-c56a-4acb-a955-23ea949c6247,18,1,0.055556,1
agentnet_redundant_step,agentnet,fixed_session,query_aware,5,cd2cee7e80f7,analysis_task:agentnet_redundant_step;dataset:agentnet;session:010eeb0d-ba49-4487-8b4b-50ca73e7419e,26,3,0.115385,1
agentnet_redundant_step,agentnet,dataset_native,query_aware,1,cec9d5fed9b3,analysis_task:agentnet_redundant_step;dataset:agentnet;benchmark:agentnet;domain:libreoffice_writer;task_difficulty:3;environment:libreoffice_writer,16,1,0.0625,1
agentnet_redundant_step,agentnet,dataset_native,query_aware,2,b3f8cc2401fc,analysis_task:agentnet_redundant_step;dataset:agentnet;benchmark:agentnet;domain:error_correction;task_difficulty:3;environment:error_correction,12,1,0.083333,1
agentnet_redundant_step,agentnet,dataset_native,query_aware,3,0afe743e9292,analysis_task:agentnet_redundant_step;dataset:agentnet;benchmark:agentnet;domain:os;task_difficulty:2;environment:os,10,0,0.0,1
agentnet_redundant_step,agentnet,dataset_native,query_aware,4,d559037e4bbd,analysis_task:agentnet_redundant_step;dataset:agentnet;benchmark:agentnet;domain:os;task_difficulty:3;environment:os,288,27,0.09375,25
agentnet_redundant_step,agentnet,dataset_native,query_aware,5,98420c5dc313,analysis_task:agentnet_redundant_step;dataset:agentnet;benchmark:agentnet;domain:libreoffice_calc;task_difficulty:4;environment:libreoffice_calc,40,2,0.05,2
agentnet_redundant_step,agentnet,raw_action_stack,query_aware,1,2c1bb41ea6c6,analysis_task:agentnet_redundant_step;dataset:agentnet;tool:computer;action:press;status:failure,15,0,0.0,10
agentnet_redundant_step,agentnet,raw_action_stack,query_aware,2,2e57aca212a5,analysis_task:agentnet_redundant_step;dataset:agentnet;tool:computer;action:triple_click;status:failure,10,0,0.0,5
agentnet_redundant_step,agentnet,raw_action_stack,query_aware,3,5c7821124958,analysis_task:agentnet_redundant_step;dataset:agentnet;tool:computer;action:press;status:success,355,17,0.047887,155
agentnet_redundant_step,agentnet,raw_action_stack,query_aware,4,aa7d1a69579d,analysis_task:agentnet_redundant_step;dataset:agentnet;tool:computer;action:type;status:failure,45,6,0.133333,24
agentnet_redundant_step,agentnet,raw_action_stack,query_aware,5,d0f1d3615e7b,analysis_task:agentnet_redundant_step;dataset:agentnet;tool:computer;action:click;status:failure,405,40,0.098765,62
agentnet_redundant_step,agentnet,operation_stack,query_aware,1,8cce6c375cab,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:libreoffice_impress;phase:navigate;action:click;repeat_signal:loop-like;status:failure,51,7,0.137255,5
agentnet_redundant_step,agentnet,operation_stack,query_aware,2,1cd1f7f3c020,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:libreoffice_writer;phase:navigate;action:click;repeat_signal:loop-like;status:failure,13,3,0.230769,1
agentnet_redundant_step,agentnet,operation_stack,query_aware,3,58e2cee8e80b,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:libreoffice_calc;phase:navigate;action:click;repeat_signal:loop-like;status:failure,12,1,0.083333,1
agentnet_redundant_step,agentnet,operation_stack,query_aware,4,e3a7d3e3cbac,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:error_correction;phase:navigate;action:click;repeat_signal:loop-like;status:failure,9,2,0.222222,1
agentnet_redundant_step,agentnet,operation_stack,query_aware,5,29909a20fda5,analysis_task:agentnet_redundant_step;dataset:agentnet;environment:libreoffice_impress;phase:navigate;action:move_to;repeat_signal:loop-like;status:failure,5,0,0.0,3
osworld_group_start,osworld-human,flat,width,1,7d51a7c03d76,analysis_task:osworld_group_start;dataset:osworld-human,4011,764,0.190476,320
osworld_group_start,osworld-human,fixed_session,query_aware,1,7d1aef01a5f6,analysis_task:osworld_group_start;dataset:osworld-human;session:48d05431-6cd5-4e76-82eb-12b60d823f7d,20,9,0.45,1
osworld_group_start,osworld-human,fixed_session,query_aware,2,be2cea46edb4,analysis_task:osworld_group_start;dataset:osworld-human;session:5812b315-e7bd-4265-b51f-863c02174c28,16,2,0.125,1
osworld_group_start,osworld-human,fixed_session,query_aware,3,936ed7619072,analysis_task:osworld_group_start;dataset:osworld-human;session:69acbb55-d945-4927-a87b-8480e1a5bb7e,11,5,0.454545,1
osworld_group_start,osworld-human,fixed_session,query_aware,4,8698f2838a47,analysis_task:osworld_group_start;dataset:osworld-human;session:d68204bf-11c1-4b13-b48b-d303c73d4bf6,11,5,0.454545,1
osworld_group_start,osworld-human,fixed_session,query_aware,5,1fb9b612842a,analysis_task:osworld_group_start;dataset:osworld-human;session:869de13e-bef9-4b91-ba51-f6708c40b096,11,5,0.454545,1
osworld_group_start,osworld-human,dataset_native,query_aware,1,27fd32a891b3,analysis_task:osworld_group_start;dataset:osworld-human;benchmark:osworld-human;app:os;environment:os,74,18,0.243243,21
osworld_group_start,osworld-human,dataset_native,query_aware,2,9d0e79b607f0,analysis_task:osworld_group_start;dataset:osworld-human;benchmark:osworld-human;app:multi_apps;environment:multi_apps,2430,480,0.197531,73
osworld_group_start,osworld-human,dataset_native,query_aware,3,f7acd2536b3f,analysis_task:osworld_group_start;dataset:osworld-human;benchmark:osworld-human;app:vs_code;environment:vs_code,79,16,0.202532,22
osworld_group_start,osworld-human,dataset_native,query_aware,4,e114c091d58d,analysis_task:osworld_group_start;dataset:osworld-human;benchmark:osworld-human;app:libreoffice_writer;environment:libreoffice_writer,161,25,0.15528,21
osworld_group_start,osworld-human,dataset_native,query_aware,5,8e6a46546b84,analysis_task:osworld_group_start;dataset:osworld-human;benchmark:osworld-human;app:thunderbird;environment:thunderbird,95,21,0.221053,14
osworld_group_start,osworld-human,raw_action_stack,query_aware,1,159398bcc7d4,analysis_task:osworld_group_start;dataset:osworld-human;tool:computer;action:type;status:gold,741,225,0.303644,188
osworld_group_start,osworld-human,raw_action_stack,query_aware,2,1faf570d9e33,analysis_task:osworld_group_start;dataset:osworld-human;tool:computer;action:press;status:gold,692,28,0.040462,163
osworld_group_start,osworld-human,raw_action_stack,query_aware,3,4f70c04b5d33,analysis_task:osworld_group_start;dataset:osworld-human;tool:computer;action:hotkey;status:gold,650,107,0.164615,139
osworld_group_start,osworld-human,raw_action_stack,query_aware,4,62383e2f1d49,analysis_task:osworld_group_start;dataset:osworld-human;tool:computer;action:type;status:infeasible,5,1,0.2,4
osworld_group_start,osworld-human,raw_action_stack,query_aware,5,42483d6d7df0,analysis_task:osworld_group_start;dataset:osworld-human;tool:computer;action:press;status:infeasible,5,0,0.0,4
osworld_group_start,osworld-human,operation_stack,query_aware,1,d43c7b140d14,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:type;repeat_signal:loop-like;status:gold,526,184,0.34981,54
osworld_group_start,osworld-human,operation_stack,query_aware,2,2c5252dbc0bc,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:press;repeat_signal:loop-like;status:gold,517,28,0.054159,52
osworld_group_start,osworld-human,operation_stack,query_aware,3,12e45251b076,analysis_task:osworld_group_start;dataset:osworld-human;app:multi_apps;phase:input;action:hotkey;repeat_signal:loop-like;status:gold,514,77,0.149805,48
osworld_group_start,osworld-human,operation_stack,query_aware,4,58d1890d024e,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_calc;phase:input;action:press;repeat_signal:loop-like;status:gold,39,0,0.0,16
osworld_group_start,osworld-human,operation_stack,query_aware,5,da20f3cf6b9f,analysis_task:osworld_group_start;dataset:osworld-human;app:libreoffice_calc;phase:input;action:type;repeat_signal:loop-like;status:gold,38,7,0.184211,18
